Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
olden State Warriors,5,0,1.000,-,3-0,2-0,2-0,5-0,118.0,106.6,+11.4,W5,5-0,NBA Standings Pre Season 2021-22
ew York Knicks,4,0,1.000,0.5,3-0,1-0,0-0,4-0,116.3,104.0,+12.3,W4,4-0,NBA Standings Pre Season 2021-22
Chicago Bulls,4,0,1.000,0.5,3-0,1-0,2-0,2-0,118.0,96.5,+21.5,W4,4-0,NBA Standings Pre Season 2021-22
Dallas Mavericks,4,0,1.000,0.5,2-0,2-0,0-0,2-0,118.5,94.3,+24.2,W4,4-0,NBA Standings Pre Season 2021-22
Sacramento Kings,4,0,1.000,0.5,2-0,2-0,3-0,4-0,113.3,102.3,+11.0,W4,4-0,NBA Standings Pre Season 2021-22
Miami Heat,5,1,.833,0.5,3-0,2-1,2-1,3-1,110.7,106.7,+4.0,W1,5-1,NBA Standings Pre Season 2021-22
Minnesota Timberwolves,3,1,.750,1.5,1-0,2-1,1-0,3-0,115.0,108.3,+6.7,L1,3-1,NBA Standings Pre Season 2021-22
Brooklyn Nets,3,1,.750,1.5,2-0,1-1,0-1,1-1,113.3,107.0,+6.3,W1,3-1,NBA Standings Pre Season 2021-22
Phoenix Suns,3,1,.750,1.5,2-0,1-1,2-1,3-1,116.3,97.5,+18.8,W3,3-1,NBA Standings Pre Season 2021-22
Toronto Raptors,3,2,.600,2,2-0,1-2,1-2,2-2,113.4,109.0,+4.4,W2,3-2,NBA Standings Pre Season 2021-22
an Antonio Spurs,3,2,.600,2,2-1,1-1,1-0,2-0,109.6,101.4,+8.2,W2,3-2,NBA Standings Pre Season 2021-22
Memphis Grizzlies,3,3,.500,2.5,2-1,1-2,0-0,0-0,106.8,97.5,+9.3,L2,3-3,NBA Standings Pre Season 2021-22
Detroit Pistons,2,2,.500,2.5,2-0,0-2,0-0,1-1,104.8,112.0,-7.2,W1,2-2,NBA Standings Pre Season 2021-22
Atlanta Hawks,2,2,.500,2.5,1-1,1-1,1-1,1-2,103.3,100.8,+2.5,W2,2-2,NBA Standings Pre Season 2021-22
Philadelphia 76ers,2,2,.500,2.5,2-0,0-2,2-1,2-2,113.8,113.0,+0.8,L1,2-2,NBA Standings Pre Season 2021-22
HUtah Jazz,2,2,.500,2.5,2-0,0-2,0-0,1-2,109.3,109.5,-0.2,W2,2-2,NBA Standings Pre Season 2021-22
Boston Celtics,2,2,.500,2.5,2-0,0-2,1-0,2-2,103.3,108.0,-4.7,L2,2-2,NBA Standings Pre Season 2021-22
Indiana Pacers,2,2,.500,2.5,1-1,1-1,1-1,1-2,104.0,110.5,-6.5,L1,2-2,NBA Standings Pre Season 2021-22
Cleveland Cavaliers,2,3,.400,3,0-2,2-1,1-3,2-3,101.0,106.4,-5.4,W1,2-3,NBA Standings Pre Season 2021-22
Oklahoma City Thunder,1,3,.250,3.5,1-2,0-1,1-1,1-1,105.5,113.8,-8.3,L1,1-3,NBA Standings Pre Season 2021-22
LA Clippers,1,3,.250,3.5,1-2,0-1,0-1,1-3,103.8,116.3,-12.5,L3,1-3,NBA Standings Pre Season 2021-22
Houston Rockets,1,3,.250,3.5,1-1,0-2,0-1,0-1,105.3,116.3,-11.0,L3,1-3,NBA Standings Pre Season 2021-22
ew Orleans Pelicans,1,3,.250,3.5,1-0,0-3,0-0,0-2,99.8,112.8,-13.0,L2,1-3,NBA Standings Pre Season 2021-22
Orlando Magic,1,3,.250,3.5,1-1,0-2,0-0,1-1,96.5,101.3,-4.8,W1,1-3,NBA Standings Pre Season 2021-22
Charlotte Hornets,1,3,.250,3.5,0-2,1-1,0-1,0-1,93.3,114.0,-20.7,L3,1-3,NBA Standings Pre Season 2021-22
Denver Nuggets,1,4,.200,4,0-1,1-3,1-2,1-4,108.4,110.0,-1.6,W1,1-4,NBA Standings Pre Season 2021-22
Milwaukee Bucks,1,4,.200,4,1-1,0-3,0-0,0-1,109.0,110.8,-1.8,L2,1-4,NBA Standings Pre Season 2021-22
Portland Trail Blazers,0,4,.000,4.5,0-2,0-2,0-0,0-4,92.8,116.5,-23.7,L4,0-4,NBA Standings Pre Season 2021-22
Washington Wizards,0,4,.000,4.5,0-2,0-2,0-0,0-3,109.8,117.5,-7.7,L4,0-4,NBA Standings Pre Season 2021-22
Los Angeles Lakers,0,6,.000,5.5,0-3,0-3,0-5,0-5,103.5,118.5,-15.0,L6,0-6,NBA Standings Pre Season 2021-22
