Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
CLECleveland Cavaliers,66,16,.805,-,39-2,27-14,13-3,40-12,100.3,91.4,+8.9,L1,7-3,NBA Standings Regular Season 2008-09
LALLos Angeles Lakers,65,17,.793,1,36-5,29-12,14-2,44-8,106.9,99.3,+7.6,W2,7-3,NBA Standings Regular Season 2008-09
BOSBoston Celtics,62,20,.756,4,35-6,27-14,15-1,41-11,100.9,93.4,+7.5,W2,8-2,NBA Standings Regular Season 2008-09
ORLOrlando Magic,59,23,.720,7,32-9,27-14,14-2,37-15,101.0,94.4,+6.6,W1,5-5,NBA Standings Regular Season 2008-09
DENDenver Nuggets,54,28,.659,12,33-8,21-20,12-4,35-17,104.3,100.9,+3.4,L1,8-2,NBA Standings Regular Season 2008-09
SASan Antonio Spurs,54,28,.659,12,28-13,26-15,10-6,36-16,97.0,93.3,+3.7,W4,6-4,NBA Standings Regular Season 2008-09
PORPortland Trail Blazers,54,28,.659,12,34-7,20-21,11-5,32-20,99.4,94.1,+5.3,W6,9-1,NBA Standings Regular Season 2008-09
HOUHouston Rockets,53,29,.646,13,33-8,20-21,9-7,35-17,98.4,94.4,+4.0,L1,6-4,NBA Standings Regular Season 2008-09
DALDallas Mavericks,50,32,.610,16,32-9,18-23,7-9,29-23,101.7,99.8,+1.9,W2,7-3,NBA Standings Regular Season 2008-09
NONew Orleans Hornets,49,33,.598,17,28-13,21-20,9-7,30-22,95.8,94.3,+1.5,L2,4-6,NBA Standings Regular Season 2008-09
UTAHUtah Jazz,48,34,.585,18,33-8,15-26,10-6,33-19,103.6,100.9,+2.7,L1,3-7,NBA Standings Regular Season 2008-09
ATLAtlanta Hawks,47,35,.573,19,31-10,16-25,11-5,30-22,98.1,96.5,+1.6,L1,5-5,NBA Standings Regular Season 2008-09
Phoenix Suns,46,36,.561,20,28-13,18-23,11-5,30-22,109.4,107.5,+1.9,W3,6-4,NBA Standings Regular Season 2008-09
MIAMiami Heat,43,39,.524,23,28-13,15-26,9-7,28-24,98.3,98.0,+0.3,W1,5-5,NBA Standings Regular Season 2008-09
PHIPhiladelphia 76ers,41,41,.500,25,24-17,17-24,6-10,25-27,97.4,97.3,+0.1,W1,4-6,NBA Standings Regular Season 2008-09
CHIChicago Bulls,41,41,.500,25,28-13,13-28,9-7,24-28,102.2,102.5,-0.3,L1,7-3,NBA Standings Regular Season 2008-09
DETDetroit Pistons,39,43,.476,27,21-20,18-23,7-9,26-26,94.2,94.7,-0.5,L3,4-6,NBA Standings Regular Season 2008-09
Indiana Pacers,36,46,.439,30,25-16,11-30,7-9,23-29,105.1,106.2,-1.1,W1,6-4,NBA Standings Regular Season 2008-09
Charlotte Bobcats,35,47,.427,31,23-18,12-29,5-11,20-32,93.6,94.9,-1.3,L4,3-7,NBA Standings Regular Season 2008-09
ew Jersey Nets,34,48,.415,32,19-22,15-26,8-8,23-29,98.1,100.5,-2.4,L1,4-6,NBA Standings Regular Season 2008-09
Milwaukee Bucks,34,48,.415,32,22-19,12-29,4-12,21-31,99.3,100.4,-1.1,L1,3-7,NBA Standings Regular Season 2008-09
Toronto Raptors,33,49,.402,33,18-23,15-26,6-10,22-30,99.0,101.9,-2.9,W3,6-4,NBA Standings Regular Season 2008-09
ew York Knicks,32,50,.390,34,20-21,12-29,5-11,20-32,105.2,107.8,-2.6,W1,3-7,NBA Standings Regular Season 2008-09
olden State Warriors,29,53,.354,37,21-20,8-33,6-10,18-34,108.6,112.3,-3.7,L2,4-6,NBA Standings Regular Season 2008-09
Minnesota Timberwolves,24,58,.293,42,11-30,13-28,3-13,13-39,97.8,102.7,-4.9,L3,4-6,NBA Standings Regular Season 2008-09
Memphis Grizzlies,24,58,.293,42,16-25,8-33,5-11,14-38,93.9,99.3,-5.4,W1,6-4,NBA Standings Regular Season 2008-09
Oklahoma City Thunder,23,59,.280,43,15-26,8-33,4-12,15-37,97.0,103.1,-6.1,W1,3-7,NBA Standings Regular Season 2008-09
LA Clippers,19,63,.232,47,11-30,8-33,2-14,10-42,95.1,103.9,-8.8,L3,1-9,NBA Standings Regular Season 2008-09
Washington Wizards,19,63,.232,47,13-28,6-35,1-15,10-42,96.1,103.5,-7.4,L2,3-7,NBA Standings Regular Season 2008-09
Sacramento Kings,17,65,.207,49,11-30,6-35,7-9,16-36,100.6,109.3,-8.7,W1,1-9,NBA Standings Regular Season 2008-09
