Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Charlotte Hornets,7,1,.875,-,3-0,4-1,2-0,5-1,98.9,89.1,+9.8,L1,7-1,NBA Standings Pre Season 2015-16
Memphis Grizzlies,6,1,.857,0.5,4-0,2-1,1-0,3-0,88.9,81.0,+7.9,L1,6-1,NBA Standings Pre Season 2015-16
Boston Celtics,6,1,.857,0.5,3-0,3-1,4-1,4-1,104.3,92.6,+11.7,W3,6-1,NBA Standings Pre Season 2015-16
Sacramento Kings,5,1,.833,1,2-0,3-1,1-1,5-1,101.7,97.8,+3.9,W4,5-1,NBA Standings Pre Season 2015-16
Oklahoma City Thunder,5,1,.833,1,3-0,2-1,3-0,4-1,105.8,93.7,+12.1,W2,5-1,NBA Standings Pre Season 2015-16
Orlando Magic,6,2,.750,1,3-1,3-1,2-1,2-2,99.5,95.9,+3.6,W5,6-2,NBA Standings Pre Season 2015-16
Indiana Pacers,5,2,.714,1.5,3-1,2-1,3-1,5-1,102.4,97.9,+4.5,W1,5-2,NBA Standings Pre Season 2015-16
Toronto Raptors,5,2,.714,1.5,4-0,1-2,0-0,2-0,94.7,88.9,+5.8,W2,5-2,NBA Standings Pre Season 2015-16
Phoenix Suns,4,2,.667,2,2-1,2-1,1-0,4-2,102.7,99.2,+3.5,W2,4-2,NBA Standings Pre Season 2015-16
ew York Knicks,4,2,.667,2,3-0,1-2,2-1,3-2,98.0,94.0,+4.0,L2,4-2,NBA Standings Pre Season 2015-16
Denver Nuggets,4,3,.571,2.5,2-0,2-3,0-2,3-3,100.0,96.6,+3.4,L2,4-3,NBA Standings Pre Season 2015-16
Washington Wizards,4,3,.571,2.5,2-1,2-2,0-1,3-3,112.3,104.4,+7.9,L2,4-3,NBA Standings Pre Season 2015-16
Atlanta Hawks,4,3,.571,2.5,1-2,3-1,0-1,1-2,93.1,93.9,-0.8,L3,4-3,NBA Standings Pre Season 2015-16
Chicago Bulls,4,4,.500,3,3-2,1-2,2-1,2-2,101.4,104.9,-3.5,W2,4-4,NBA Standings Pre Season 2015-16
Miami Heat,4,4,.500,3,2-2,2-2,2-3,2-3,96.1,96.1,0.0,L1,4-4,NBA Standings Pre Season 2015-16
LA Clippers,3,3,.500,3,3-1,0-2,1-0,3-0,97.7,102.0,-4.3,W2,3-3,NBA Standings Pre Season 2015-16
Portland Trail Blazers,3,4,.429,3.5,2-1,1-3,2-0,3-4,104.0,102.1,+1.9,L2,3-4,NBA Standings Pre Season 2015-16
HUtah Jazz,3,4,.429,3.5,1-2,2-2,1-3,3-4,97.7,97.3,+0.4,W1,3-4,NBA Standings Pre Season 2015-16
olden State Warriors,3,4,.429,3.5,2-1,1-3,1-2,2-4,103.3,104.6,-1.3,W1,3-4,NBA Standings Pre Season 2015-16
ew Orleans Pelicans,3,4,.429,3.5,1-2,2-2,0-1,0-2,103.4,107.1,-3.7,W1,3-4,NBA Standings Pre Season 2015-16
Detroit Pistons,3,5,.375,4,1-3,2-2,2-2,3-4,103.0,96.3,+6.7,W1,3-5,NBA Standings Pre Season 2015-16
Houston Rockets,3,5,.375,4,2-2,1-3,2-2,3-3,107.4,108.1,-0.7,L1,3-5,NBA Standings Pre Season 2015-16
Los Angeles Lakers,3,5,.375,4,3-5,0-0,1-2,2-4,99.3,101.3,-2.0,L1,3-5,NBA Standings Pre Season 2015-16
Brooklyn Nets,2,4,.333,4,1-2,1-2,1-3,2-3,97.7,98.7,-1.0,L1,2-4,NBA Standings Pre Season 2015-16
Milwaukee Bucks,2,4,.333,4,1-2,1-2,1-2,1-3,101.3,104.7,-3.4,L1,2-4,NBA Standings Pre Season 2015-16
an Antonio Spurs,2,4,.333,4,2-1,0-3,1-0,1-2,93.8,95.7,-1.9,W1,2-4,NBA Standings Pre Season 2015-16
Minnesota Timberwolves,2,5,.286,4.5,2-2,0-3,0-1,0-2,95.1,105.6,-10.5,W1,2-5,NBA Standings Pre Season 2015-16
Philadelphia 76ers,2,5,.286,4.5,2-1,0-4,1-3,2-5,95.6,104.6,-9.0,L4,2-5,NBA Standings Pre Season 2015-16
Cleveland Cavaliers,1,6,.143,5.5,1-4,0-2,0-2,0-5,94.4,100.7,-6.3,W1,1-6,NBA Standings Pre Season 2015-16
Dallas Mavericks,0,7,.000,6.5,0-3,0-4,0-1,0-4,89.4,100.1,-10.7,L7,0-7,NBA Standings Pre Season 2015-16
