Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Denver Nuggets,7,1,.875,-,3-0,4-1,0-0,3-0,98.0,87.9,+10.1,W6,7-1,NBA Standings Pre Season 2004-05
Phoenix Suns,7,1,.875,-,3-0,4-1,3-1,7-1,106.9,90.9,+16.0,W3,7-1,NBA Standings Pre Season 2004-05
Memphis Grizzlies,6,2,.750,1,3-1,3-1,0-0,0-0,97.9,90.5,+7.4,W1,6-2,NBA Standings Pre Season 2004-05
Philadelphia 76ers,6,2,.750,1,4-0,2-2,3-1,4-1,98.0,94.6,+3.4,L1,6-2,NBA Standings Pre Season 2004-05
Cleveland Cavaliers,6,2,.750,1,5-0,1-2,1-0,6-1,96.4,88.6,+7.8,L1,6-2,NBA Standings Pre Season 2004-05
Indiana Pacers,6,2,.750,1,4-1,2-1,1-0,2-0,93.0,91.8,+1.2,L1,6-2,NBA Standings Pre Season 2004-05
Los Angeles Lakers,6,2,.750,1,6-2,0-0,4-1,5-2,100.6,90.0,+10.6,W4,6-2,NBA Standings Pre Season 2004-05
olden State Warriors,5,3,.625,2,2-1,3-2,3-2,5-3,86.6,86.9,-0.3,W2,5-3,NBA Standings Pre Season 2004-05
ew York Knicks,5,3,.625,2,4-0,1-3,2-0,2-0,89.0,92.9,-3.9,W3,5-3,NBA Standings Pre Season 2004-05
Miami Heat,4,3,.571,2.5,3-0,1-3,3-2,4-2,90.7,86.1,+4.6,L2,4-3,NBA Standings Pre Season 2004-05
Orlando Magic,4,3,.571,2.5,3-1,1-2,1-2,1-2,97.4,92.7,+4.7,W4,4-3,NBA Standings Pre Season 2004-05
an Antonio Spurs,4,3,.571,2.5,2-2,2-1,3-0,4-1,92.1,90.0,+2.1,W4,4-3,NBA Standings Pre Season 2004-05
Minnesota Timberwolves,4,4,.500,3,2-2,2-2,0-0,0-0,91.8,88.4,+3.4,W1,4-4,NBA Standings Pre Season 2004-05
Portland Trail Blazers,4,4,.500,3,3-1,1-3,1-1,1-3,86.6,84.4,+2.2,L1,4-4,NBA Standings Pre Season 2004-05
ew Jersey Nets,4,4,.500,3,3-1,1-3,3-3,4-4,87.0,88.0,-1.0,W1,4-4,NBA Standings Pre Season 2004-05
Milwaukee Bucks,4,4,.500,3,2-2,2-2,0-0,0-0,89.0,92.4,-3.4,L1,4-4,NBA Standings Pre Season 2004-05
Houston Rockets,3,4,.429,3.5,3-2,0-2,0-1,1-3,84.1,85.3,-1.2,L3,3-4,NBA Standings Pre Season 2004-05
HUtah Jazz,3,4,.429,3.5,2-0,1-4,1-0,2-1,89.3,91.0,-1.7,L3,3-4,NBA Standings Pre Season 2004-05
ew Orleans Hornets,3,5,.375,4,3-1,0-4,1-1,2-3,93.5,94.6,-1.1,L4,3-5,NBA Standings Pre Season 2004-05
Dallas Mavericks,3,5,.375,4,2-2,1-3,0-2,1-2,97.5,96.4,+1.1,W1,3-5,NBA Standings Pre Season 2004-05
Washington Wizards,3,5,.375,4,1-0,2-5,2-0,3-4,96.3,98.6,-2.3,L2,3-5,NBA Standings Pre Season 2004-05
Charlotte Bobcats,3,5,.375,4,3-1,0-4,2-2,2-4,88.1,94.9,-6.8,W2,3-5,NBA Standings Pre Season 2004-05
Chicago Bulls,3,5,.375,4,3-1,0-4,0-2,2-4,87.3,96.9,-9.6,L1,3-5,NBA Standings Pre Season 2004-05
Detroit Pistons,3,5,.375,4,3-2,0-3,0-0,2-3,86.6,88.6,-2.0,L2,3-5,NBA Standings Pre Season 2004-05
Toronto Raptors,2,5,.286,4.5,1-2,1-3,0-2,2-2,95.6,96.4,-0.8,W1,2-5,NBA Standings Pre Season 2004-05
Seattle SuperSonics,2,6,.250,5,1-2,1-4,1-2,2-6,86.8,96.1,-9.3,W1,2-6,NBA Standings Pre Season 2004-05
LA Clippers,2,6,.250,5,2-2,0-4,1-4,2-6,90.9,98.5,-7.6,L2,2-6,NBA Standings Pre Season 2004-05
Sacramento Kings,2,6,.250,5,2-2,0-4,0-3,2-6,88.1,100.4,-12.3,L2,2-6,NBA Standings Pre Season 2004-05
Boston Celtics,2,6,.250,5,2-2,0-4,0-2,2-6,92.9,92.5,+0.4,W1,2-6,NBA Standings Pre Season 2004-05
Atlanta Hawks,1,7,.125,6,1-3,0-4,1-3,1-4,87.1,97.9,-10.8,L7,1-7,NBA Standings Pre Season 2004-05
