Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
DETDetroit Pistons,64,18,.780,-,37-4,27-14,13-3,39-13,96.8,90.2,+6.6,L2,6-4,NBA Standings Regular Season 2005-06
SASan Antonio Spurs,63,19,.768,1,34-7,29-12,13-3,42-10,95.6,88.8,+6.8,W3,7-3,NBA Standings Regular Season 2005-06
DALDallas Mavericks,60,22,.732,4,34-7,26-15,13-3,37-15,99.1,93.1,+6.0,L1,6-4,NBA Standings Regular Season 2005-06
PHXPhoenix Suns,54,28,.659,10,31-10,23-18,10-6,32-20,108.4,102.8,+5.6,W2,5-5,NBA Standings Regular Season 2005-06
MIAMiami Heat,52,30,.634,12,31-10,21-20,13-3,35-17,99.9,96.0,+3.9,L3,4-6,NBA Standings Regular Season 2005-06
CLECleveland Cavaliers,50,32,.610,14,31-10,19-22,11-5,34-18,97.6,95.4,+2.2,W2,7-3,NBA Standings Regular Season 2005-06
NJNew Jersey Nets,49,33,.598,15,29-12,20-21,10-6,33-19,93.8,92.4,+1.4,L2,5-5,NBA Standings Regular Season 2005-06
MEMMemphis Grizzlies,49,33,.598,15,30-11,19-22,6-10,31-21,92.2,88.5,+3.7,W5,8-2,NBA Standings Regular Season 2005-06
LACLA Clippers,47,35,.573,17,27-14,20-21,7-9,27-25,97.2,95.6,+1.6,W1,5-5,NBA Standings Regular Season 2005-06
LALLos Angeles Lakers,45,37,.549,19,27-14,18-23,9-7,27-25,99.4,96.9,+2.5,W5,7-3,NBA Standings Regular Season 2005-06
DENDenver Nuggets,44,38,.537,20,26-15,18-23,10-6,25-27,100.3,100.1,+0.2,L4,4-6,NBA Standings Regular Season 2005-06
SACSacramento Kings,44,38,.537,20,27-14,17-24,10-6,30-22,98.9,97.3,+1.6,W3,8-2,NBA Standings Regular Season 2005-06
WSHWashington Wizards,42,40,.512,22,27-14,15-26,8-8,29-23,101.7,99.8,+1.9,W3,5-5,NBA Standings Regular Season 2005-06
INDIndiana Pacers,41,41,.500,23,27-14,14-27,6-10,24-28,93.9,92.0,+1.9,W2,6-4,NBA Standings Regular Season 2005-06
CHIChicago Bulls,41,41,.500,23,21-20,20-21,4-12,30-22,97.8,97.2,+0.6,W6,9-1,NBA Standings Regular Season 2005-06
HUtah Jazz,41,41,.500,23,22-19,19-22,11-5,26-26,92.4,95.0,-2.6,W1,7-3,NBA Standings Regular Season 2005-06
MILMilwaukee Bucks,40,42,.488,24,25-16,15-26,6-10,29-23,97.8,98.8,-1.0,L1,4-6,NBA Standings Regular Season 2005-06
Philadelphia 76ers,38,44,.463,26,23-18,15-26,10-6,22-30,99.4,101.3,-1.9,L1,4-6,NBA Standings Regular Season 2005-06
"O/Oklahoma City
 Hornets",38,44,.463,26,24-17,14-27,7-9,25-27,92.8,95.6,-2.8,L4,3-7,NBA Standings Regular Season 2005-06
Orlando Magic,36,46,.439,28,26-15,10-31,9-7,24-28,94.9,96.0,-1.1,L2,8-2,NBA Standings Regular Season 2005-06
Seattle SuperSonics,35,47,.427,29,22-19,13-28,10-6,20-32,102.6,105.6,-3.0,W1,6-4,NBA Standings Regular Season 2005-06
Houston Rockets,34,48,.415,30,15-26,19-22,1-15,19-33,90.1,91.7,-1.6,L1,2-8,NBA Standings Regular Season 2005-06
olden State Warriors,34,48,.415,30,21-20,13-28,4-12,19-33,98.5,99.8,-1.3,L1,4-6,NBA Standings Regular Season 2005-06
Boston Celtics,33,49,.402,31,21-20,12-29,10-6,19-33,98.0,99.5,-1.5,W1,3-7,NBA Standings Regular Season 2005-06
Minnesota Timberwolves,33,49,.402,31,24-17,9-32,6-10,20-32,91.7,93.6,-1.9,L3,3-7,NBA Standings Regular Season 2005-06
Toronto Raptors,27,55,.329,37,15-26,12-29,6-10,20-32,101.1,104.0,-2.9,L2,1-9,NBA Standings Regular Season 2005-06
Charlotte Bobcats,26,56,.317,38,17-24,9-32,5-11,18-34,96.9,100.9,-4.0,W4,6-4,NBA Standings Regular Season 2005-06
Atlanta Hawks,26,56,.317,38,18-23,8-33,5-11,19-33,97.2,102.0,-4.8,L1,4-6,NBA Standings Regular Season 2005-06
ew York Knicks,23,59,.280,41,15-26,8-33,4-12,15-37,95.6,102.0,-6.4,W1,4-6,NBA Standings Regular Season 2005-06
Portland Trail Blazers,21,61,.256,43,15-26,6-35,3-13,10-42,88.8,98.3,-9.5,L8,1-9,NBA Standings Regular Season 2005-06
