Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
UTAHUtah Jazz,52,20,.722,-,31-5,21-15,7-5,28-14,116.4,107.2,+9.2,W2,7-3,NBA Standings Regular Season 2020-21
PHXPhoenix Suns,51,21,.708,1,27-9,24-12,7-5,30-12,115.3,109.5,+5.8,W3,7-3,NBA Standings Regular Season 2020-21
PHIPhiladelphia 76ers,49,23,.681,3,29-7,20-16,10-2,31-11,113.6,108.1,+5.5,W2,8-2,NBA Standings Regular Season 2020-21
BKNBrooklyn Nets,48,24,.667,4,28-8,20-16,8-4,26-16,118.6,114.1,+4.5,W5,6-4,NBA Standings Regular Season 2020-21
DENDenver Nuggets,47,25,.653,5,25-11,22-14,9-3,26-16,115.1,110.1,+5.0,L1,6-4,NBA Standings Regular Season 2020-21
LACLA Clippers,47,25,.653,5,26-10,21-15,9-3,27-15,114.0,107.8,+6.2,L2,4-6,NBA Standings Regular Season 2020-21
MILMilwaukee Bucks,46,26,.639,6,26-10,20-16,11-1,30-12,120.1,114.2,+5.9,L1,8-2,NBA Standings Regular Season 2020-21
DALDallas Mavericks,42,30,.583,10,21-15,21-15,7-5,21-21,112.4,110.2,+2.2,L1,8-2,NBA Standings Regular Season 2020-21
-LALLos Angeles Lakers,42,30,.583,10,21-15,21-15,4-8,25-17,109.5,106.8,+2.7,W5,6-4,NBA Standings Regular Season 2020-21
PORPortland Trail Blazers,42,30,.583,10,20-16,22-14,6-6,23-19,116.1,114.3,+1.8,W1,8-2,NBA Standings Regular Season 2020-21
ATLAtlanta Hawks,41,31,.569,11,25-11,16-20,9-3,24-18,113.7,111.4,+2.3,W4,7-3,NBA Standings Regular Season 2020-21
NYNew York Knicks,41,31,.569,11,25-11,16-20,4-8,25-17,107.0,104.7,+2.3,W3,7-3,NBA Standings Regular Season 2020-21
MIAMiami Heat,40,32,.556,12,21-15,19-17,6-6,24-18,108.1,108.0,+0.1,W1,8-2,NBA Standings Regular Season 2020-21
-GSGolden State Warriors,39,33,.542,13,25-11,14-22,5-7,25-17,113.7,112.7,+1.0,W6,8-2,NBA Standings Regular Season 2020-21
-MEMMemphis Grizzlies,38,34,.528,14,18-18,20-16,6-6,19-23,113.3,112.3,+1.0,L1,6-4,NBA Standings Regular Season 2020-21
-BOSBoston Celtics,36,36,.500,16,21-15,15-21,4-8,20-22,112.6,111.2,+1.4,L1,4-6,NBA Standings Regular Season 2020-21
-WSHWashington Wizards,34,38,.472,18,19-17,15-21,3-9,16-26,116.6,118.5,-1.9,W2,6-4,NBA Standings Regular Season 2020-21
-INDIndiana Pacers,34,38,.472,18,13-23,21-15,7-5,20-22,115.3,115.3,0.0,W1,5-5,NBA Standings Regular Season 2020-21
-SASan Antonio Spurs,33,39,.458,19,14-22,19-17,6-6,17-25,111.1,112.8,-1.7,L4,2-8,NBA Standings Regular Season 2020-21
-CHACharlotte Hornets,33,39,.458,19,18-18,15-21,8-4,20-22,109.5,111.4,-1.9,L5,3-7,NBA Standings Regular Season 2020-21
NONew Orleans Pelicans,31,41,.431,21,18-18,13-23,6-6,18-24,114.6,114.9,-0.3,L4,4-6,NBA Standings Regular Season 2020-21
CHIChicago Bulls,31,41,.431,21,15-21,16-20,7-5,21-21,110.7,111.6,-0.9,W1,5-5,NBA Standings Regular Season 2020-21
SACSacramento Kings,31,41,.431,21,16-20,15-21,5-7,18-24,113.7,117.4,-3.7,L3,6-4,NBA Standings Regular Season 2020-21
TORToronto Raptors,27,45,.375,25,16-20,11-25,4-8,17-25,111.3,111.7,-0.4,L7,1-9,NBA Standings Regular Season 2020-21
MINMinnesota Timberwolves,23,49,.319,29,13-23,10-26,5-7,15-27,112.1,117.7,-5.6,W1,5-5,NBA Standings Regular Season 2020-21
CLECleveland Cavaliers,22,50,.306,30,13-23,9-27,4-8,16-26,103.8,112.3,-8.5,L2,1-9,NBA Standings Regular Season 2020-21
OKCOklahoma City Thunder,22,50,.306,30,10-26,12-24,3-9,12-30,105.0,115.6,-10.6,W1,1-9,NBA Standings Regular Season 2020-21
ORLOrlando Magic,21,51,.292,31,11-25,10-26,4-8,13-29,104.0,113.3,-9.3,L7,2-8,NBA Standings Regular Season 2020-21
DETDetroit Pistons,20,52,.278,32,13-23,7-29,1-11,12-30,106.6,111.1,-4.5,L5,1-9,NBA Standings Regular Season 2020-21
HOUHouston Rockets,17,55,.236,35,9-27,8-28,5-7,11-31,108.8,116.7,-7.9,L1,2-8,NBA Standings Regular Season 2020-21
