Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
GSGolden State Warriors,67,15,.817,-,39-2,28-13,13-3,42-10,110.0,99.9,+10.1,W4,8-2,NBA Standings Regular Season 2014-15
ATLAtlanta Hawks,60,22,.732,7,35-6,25-16,12-4,38-14,102.5,97.1,+5.4,L3,5-5,NBA Standings Regular Season 2014-15
HOUHouston Rockets,56,26,.683,11,30-11,26-15,8-8,33-19,103.9,100.5,+3.4,W3,7-3,NBA Standings Regular Season 2014-15
LACLA Clippers,56,26,.683,11,30-11,26-15,12-4,37-15,106.7,100.1,+6.6,W7,9-1,NBA Standings Regular Season 2014-15
MEMMemphis Grizzlies,55,27,.671,12,31-10,24-17,9-7,35-17,98.3,95.1,+3.2,W1,5-5,NBA Standings Regular Season 2014-15
SASan Antonio Spurs,55,27,.671,12,33-8,22-19,8-8,32-20,103.2,97.0,+6.2,L1,9-1,NBA Standings Regular Season 2014-15
CLECleveland Cavaliers,53,29,.646,14,31-10,22-19,11-5,35-17,103.1,98.7,+4.4,W2,7-3,NBA Standings Regular Season 2014-15
PORPortland Trail Blazers,51,31,.622,16,32-9,19-22,11-5,31-21,102.8,98.6,+4.2,L4,4-6,NBA Standings Regular Season 2014-15
CHIChicago Bulls,50,32,.610,17,27-14,23-18,8-8,33-19,100.8,97.8,+3.0,W4,7-3,NBA Standings Regular Season 2014-15
DALDallas Mavericks,50,32,.610,17,27-14,23-18,7-9,29-23,105.2,102.3,+2.9,W1,5-5,NBA Standings Regular Season 2014-15
TORToronto Raptors,49,33,.598,18,27-14,22-19,11-5,33-19,104.0,100.9,+3.1,W1,7-3,NBA Standings Regular Season 2014-15
WSHWashington Wizards,46,36,.561,21,29-12,17-24,10-6,30-22,98.5,97.8,+0.7,L2,6-4,NBA Standings Regular Season 2014-15
NONew Orleans Pelicans,45,37,.549,22,28-13,17-24,8-8,29-23,99.4,98.6,+0.8,W2,7-3,NBA Standings Regular Season 2014-15
Oklahoma City Thunder,45,37,.549,22,29-12,16-25,10-6,25-27,104.0,101.8,+2.2,W2,4-6,NBA Standings Regular Season 2014-15
MILMilwaukee Bucks,41,41,.500,26,23-18,18-23,7-9,30-22,97.8,97.4,+0.4,L1,5-5,NBA Standings Regular Season 2014-15
BOSBoston Celtics,40,42,.488,27,21-20,19-22,12-4,28-24,101.4,101.2,+0.2,W6,8-2,NBA Standings Regular Season 2014-15
Phoenix Suns,39,43,.476,28,22-19,17-24,6-10,21-31,102.4,103.3,-0.9,L5,1-9,NBA Standings Regular Season 2014-15
BKNBrooklyn Nets,38,44,.463,29,19-22,19-22,10-6,24-28,98.0,100.9,-2.9,W1,6-4,NBA Standings Regular Season 2014-15
Indiana Pacers,38,44,.463,29,23-18,15-26,8-8,28-24,97.3,97.0,+0.3,L1,7-3,NBA Standings Regular Season 2014-15
HUtah Jazz,38,44,.463,29,21-20,17-24,9-7,23-29,95.1,94.9,+0.2,L1,7-3,NBA Standings Regular Season 2014-15
Miami Heat,37,45,.451,30,20-21,17-24,6-10,25-27,94.7,97.3,-2.6,W2,4-6,NBA Standings Regular Season 2014-15
Charlotte Hornets,33,49,.402,34,19-22,14-27,8-8,25-27,94.2,97.3,-3.1,L6,2-8,NBA Standings Regular Season 2014-15
Detroit Pistons,32,50,.390,35,18-23,14-27,6-10,23-29,98.5,99.5,-1.0,W1,4-6,NBA Standings Regular Season 2014-15
Denver Nuggets,30,52,.366,37,19-22,11-30,6-10,19-33,101.5,105.0,-3.5,L2,3-7,NBA Standings Regular Season 2014-15
Sacramento Kings,29,53,.354,38,18-23,11-30,7-9,18-34,101.3,105.0,-3.7,W2,3-7,NBA Standings Regular Season 2014-15
Orlando Magic,25,57,.305,42,13-28,12-29,4-12,15-37,95.7,101.4,-5.7,L4,3-7,NBA Standings Regular Season 2014-15
Los Angeles Lakers,21,61,.256,46,12-29,9-32,2-14,9-43,98.5,105.3,-6.8,L3,2-8,NBA Standings Regular Season 2014-15
Philadelphia 76ers,18,64,.220,49,12-29,6-35,2-14,12-40,92.0,101.0,-9.0,L10,0-10,NBA Standings Regular Season 2014-15
ew York Knicks,17,65,.207,50,10-31,7-34,5-11,11-41,91.9,101.2,-9.3,L1,3-7,NBA Standings Regular Season 2014-15
Minnesota Timberwolves,16,66,.195,51,9-32,7-34,4-12,7-45,97.8,106.5,-8.7,L12,0-10,NBA Standings Regular Season 2014-15
