Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
INDIndiana Pacers,61,21,.744,-,34-7,27-14,20-8,41-13,91.4,85.6,+5.8,W5,8-2,NBA Standings Regular Season 2003-04
MINMinnesota Timberwolves,58,24,.707,3,31-10,27-14,14-10,34-18,94.5,89.1,+5.4,W9,9-1,NBA Standings Regular Season 2003-04
SASan Antonio Spurs,57,25,.695,4,33-8,24-17,15-9,35-17,91.5,84.3,+7.2,W11,10-0,NBA Standings Regular Season 2003-04
LALLos Angeles Lakers,56,26,.683,5,34-7,22-19,15-9,31-21,98.2,94.3,+3.9,W2,7-3,NBA Standings Regular Season 2003-04
SACSacramento Kings,55,27,.671,6,34-7,21-20,16-8,31-21,102.8,97.8,+5.0,L2,4-6,NBA Standings Regular Season 2003-04
DETDetroit Pistons,54,28,.659,7,31-10,23-18,17-11,37-17,90.1,84.3,+5.8,L1,8-2,NBA Standings Regular Season 2003-04
DALDallas Mavericks,52,30,.634,9,36-5,16-25,14-10,33-19,105.2,100.8,+4.4,W2,8-2,NBA Standings Regular Season 2003-04
MEMMemphis Grizzlies,50,32,.610,11,31-10,19-22,12-12,28-24,96.7,94.3,+2.4,L4,4-6,NBA Standings Regular Season 2003-04
NJNew Jersey Nets,47,35,.573,14,28-13,19-22,18-7,34-20,90.3,87.8,+2.5,L2,5-5,NBA Standings Regular Season 2003-04
HOUHouston Rockets,45,37,.549,16,27-14,18-23,8-16,21-31,89.8,88.0,+1.8,L1,3-7,NBA Standings Regular Season 2003-04
DENDenver Nuggets,43,39,.524,18,29-12,14-27,11-13,29-23,97.2,96.1,+1.1,L1,6-4,NBA Standings Regular Season 2003-04
MIAMiami Heat,42,40,.512,19,29-12,13-28,15-10,30-24,90.3,89.7,+0.6,W2,7-3,NBA Standings Regular Season 2003-04
HUtah Jazz,42,40,.512,19,28-13,14-27,10-14,25-27,88.7,89.9,-1.2,L2,5-5,NBA Standings Regular Season 2003-04
NONew Orleans Hornets,41,41,.500,20,25-16,16-25,14-14,30-24,91.8,91.9,-0.1,W1,4-6,NBA Standings Regular Season 2003-04
MILMilwaukee Bucks,41,41,.500,20,27-14,14-27,15-13,33-21,98.0,97.0,+1.0,L3,5-5,NBA Standings Regular Season 2003-04
Portland Trail Blazers,41,41,.500,20,25-16,16-25,13-11,22-30,90.7,92.0,-1.3,L4,4-6,NBA Standings Regular Season 2003-04
NYNew York Knicks,39,43,.476,22,23-18,16-25,17-7,31-23,92.0,93.5,-1.5,L1,6-4,NBA Standings Regular Season 2003-04
olden State Warriors,37,45,.451,24,27-14,10-31,12-12,23-29,93.3,94.0,-0.7,W1,5-5,NBA Standings Regular Season 2003-04
Seattle SuperSonics,37,45,.451,24,21-20,16-25,11-13,22-30,97.1,97.8,-0.7,W1,3-7,NBA Standings Regular Season 2003-04
BOSBoston Celtics,36,46,.439,25,19-22,17-24,14-10,24-30,95.3,96.7,-1.4,W1,4-6,NBA Standings Regular Season 2003-04
Cleveland Cavaliers,35,47,.427,26,23-18,12-29,14-14,29-25,92.9,95.5,-2.6,W3,3-7,NBA Standings Regular Season 2003-04
Toronto Raptors,33,49,.402,28,18-23,15-26,11-17,22-32,85.4,88.5,-3.1,W2,3-7,NBA Standings Regular Season 2003-04
Philadelphia 76ers,33,49,.402,28,21-20,12-29,10-14,23-31,88.0,90.5,-2.5,L4,3-7,NBA Standings Regular Season 2003-04
Phoenix Suns,29,53,.354,32,18-23,11-30,9-15,16-36,94.2,97.9,-3.7,W1,5-5,NBA Standings Regular Season 2003-04
Atlanta Hawks,28,54,.341,33,18-23,10-31,10-18,19-35,92.8,97.5,-4.7,L1,5-5,NBA Standings Regular Season 2003-04
LA Clippers,28,54,.341,33,18-23,10-31,8-16,14-38,94.8,99.4,-4.6,L1,1-9,NBA Standings Regular Season 2003-04
Washington Wizards,25,57,.305,36,17-24,8-33,3-21,16-38,91.8,97.4,-5.6,L3,2-8,NBA Standings Regular Season 2003-04
Chicago Bulls,23,59,.280,38,14-27,9-32,11-17,19-35,89.7,96.0,-6.3,L2,3-7,NBA Standings Regular Season 2003-04
Orlando Magic,21,61,.256,40,11-30,10-31,8-16,17-37,94.0,101.1,-7.1,W2,2-8,NBA Standings Regular Season 2003-04
