Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
Dallas Mavericks,82,100.2,37.4,78.8,47.5,7.9,21.6,36.5,17.5,22.6,77.7,9.5,31.9,41.4,23.8,6.8,4.3,14.0,19.2,NBA Team Regular Season Stats 2010-11
Memphis Grizzlies,82,99.9,39.0,82.9,47.1,3.8,11.3,33.4,18.1,24.2,75.0,11.8,29.2,41.0,20.6,9.4,5.4,14.0,20.8,NBA Team Regular Season Stats 2010-11
Indiana Pacers,82,99.8,36.6,82.8,44.2,7.1,20.2,35.4,19.4,24.8,78.2,11.1,32.4,43.5,19.6,7.1,5.6,15.4,21.7,NBA Team Regular Season Stats 2010-11
Utah Jazz,82,99.4,37.4,80.4,46.5,5.3,15.3,34.6,19.4,25.1,77.1,11.0,28.5,39.5,23.4,7.7,5.9,14.3,22.7,NBA Team Regular Season Stats 2010-11
Sacramento Kings,82,99.4,38.2,85.1,44.9,5.2,15.6,33.5,17.7,24.2,73.4,13.1,30.8,43.9,20.4,7.4,4.8,16.1,22.0,NBA Team Regular Season Stats 2010-11
Orlando Magic,82,99.2,36.0,78.2,46.1,9.4,25.6,36.6,17.7,25.6,69.2,10.5,32.7,43.2,20.0,6.7,4.7,14.9,20.0,NBA Team Regular Season Stats 2010-11
Toronto Raptors,82,99.1,38.3,82.4,46.5,4.2,13.3,31.6,18.2,24.1,75.5,11.7,28.6,40.3,21.9,7.1,4.3,14.7,22.0,NBA Team Regular Season Stats 2010-11
Philadelphia 76ers,82,99.0,38.1,82.6,46.1,5.4,15.2,35.5,17.4,22.6,77.0,10.4,31.4,41.8,22.7,7.6,4.3,13.0,19.4,NBA Team Regular Season Stats 2010-11
LA Clippers,82,98.6,36.8,80.4,45.7,6.3,18.5,33.8,18.9,26.7,70.7,11.6,30.5,42.1,22.1,7.1,4.9,16.4,21.1,NBA Team Regular Season Stats 2010-11
Chicago Bulls,82,98.6,37.1,80.3,46.2,6.2,17.3,36.1,18.2,24.5,74.3,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20.0,NBA Team Regular Season Stats 2010-11
Washington Wizards,82,97.3,37.2,84.0,44.3,4.8,14.4,33.2,18.2,24.4,74.5,12.4,29.0,41.3,19.4,8.1,6.1,15.3,22.6,NBA Team Regular Season Stats 2010-11
Detroit Pistons,82,97.0,37.3,81.1,46.0,5.8,15.3,37.6,16.7,22.6,73.7,11.4,27.3,38.6,21.1,7.3,4.0,13.0,19.9,NBA Team Regular Season Stats 2010-11
Boston Celtics,82,96.5,36.9,75.8,48.6,5.0,13.6,36.5,17.8,23.1,77.0,7.8,31.0,38.8,23.4,8.2,4.2,14.6,20.5,NBA Team Regular Season Stats 2010-11
Portland Trail Blazers,82,96.3,36.0,80.5,44.7,6.3,18.3,34.5,18.0,22.4,80.4,12.1,27.2,39.3,21.2,8.0,4.4,13.0,19.3,NBA Team Regular Season Stats 2010-11
Cleveland Cavaliers,82,95.5,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21.0,6.6,4.2,14.2,20.1,NBA Team Regular Season Stats 2010-11
Atlanta Hawks,82,95.0,36.2,78.4,46.2,6.1,17.4,35.2,16.4,21.1,77.9,9.3,30.0,39.3,22.0,6.1,4.2,13.6,19.0,NBA Team Regular Season Stats 2010-11
New Orleans Hornets,82,94.9,35.9,78.2,45.9,5.4,15.0,36.0,17.7,23.1,76.5,10.0,30.1,40.1,20.6,7.6,4.4,13.0,21.0,NBA Team Regular Season Stats 2010-11
New Jersey Nets,82,94.2,35.6,81.0,44.0,5.6,16.3,34.3,17.4,22.9,75.9,11.1,29.8,40.8,21.0,5.6,4.7,14.0,22.0,NBA Team Regular Season Stats 2010-11
Charlotte Bobcats,82,93.3,35.0,77.6,45.1,4.8,14.7,32.7,18.4,24.4,75.6,10.3,29.8,40.1,21.1,6.4,5.3,14.5,20.0,NBA Team Regular Season Stats 2010-11
Milwaukee Bucks,82,91.9,34.3,79.8,43.0,5.9,17.2,34.2,17.4,22.9,75.7,10.5,30.2,40.8,18.8,7.5,4.9,13.5,20.5,NBA Team Regular Season Stats 2010-11
