Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
Phoenix Suns,82,108.4,41.8,87.4,47.9,10.2,25.6,39.9,14.5,18.0,80.6,9.5,32.3,41.8,26.6,6.7,5.0,13.3,20.5,NBA Team Regular Season Stats 2005-06
Seattle SuperSonics,82,102.6,37.5,81.8,45.8,7.4,19.9,37.1,20.1,25.7,78.5,12.4,27.2,39.6,20.7,7.6,3.7,14.7,23.6,NBA Team Regular Season Stats 2005-06
Washington Wizards,82,101.7,36.3,81.2,44.7,6.1,17.0,35.7,23.0,30.4,75.7,12.6,28.6,41.2,18.6,8.0,4.1,13.9,22.6,NBA Team Regular Season Stats 2005-06
Toronto Raptors,82,101.1,36.7,81.0,45.4,7.4,19.8,37.5,20.2,25.5,79.1,10.5,27.9,38.5,19.4,6.5,3.3,13.1,24.0,NBA Team Regular Season Stats 2005-06
Denver Nuggets,82,100.3,37.5,81.4,46.1,4.3,13.1,32.5,21.0,28.2,74.4,11.0,30.3,41.3,23.4,8.5,5.6,14.8,22.7,NBA Team Regular Season Stats 2005-06
Miami Heat,82,99.9,37.1,77.5,47.8,6.1,17.6,34.5,19.7,28.2,70.0,10.5,32.6,43.1,20.6,6.4,5.4,14.5,22.8,NBA Team Regular Season Stats 2005-06
Los Angeles Lakers,82,99.4,36.5,80.6,45.3,6.7,19.3,34.9,19.7,26.5,74.5,11.8,30.3,42.2,21.1,7.7,4.3,13.9,23.1,NBA Team Regular Season Stats 2005-06
Philadelphia 76ers,82,99.4,36.6,79.8,45.8,4.6,12.6,36.4,21.6,28.4,76.0,10.6,29.6,40.2,20.2,7.9,4.9,14.1,20.9,NBA Team Regular Season Stats 2005-06
Dallas Mavericks,82,99.1,36.0,77.7,46.2,5.1,13.6,37.4,22.2,28.3,78.3,12.6,29.6,42.2,18.0,7.2,6.0,13.6,22.4,NBA Team Regular Season Stats 2005-06
Sacramento Kings,82,98.9,36.0,79.3,45.4,6.0,17.2,35.1,20.8,26.5,78.4,10.4,30.2,40.5,22.3,7.4,3.6,14.6,20.4,NBA Team Regular Season Stats 2005-06
Golden State Warriors,82,98.5,35.8,82.7,43.3,7.6,22.3,34.1,19.2,26.7,71.8,12.0,30.3,42.3,20.7,7.4,4.4,14.1,23.7,NBA Team Regular Season Stats 2005-06
Boston Celtics,82,98.0,36.0,77.1,46.7,5.7,15.7,36.2,20.3,26.9,75.5,9.9,29.7,39.6,20.9,7.0,5.1,16.6,24.8,NBA Team Regular Season Stats 2005-06
Chicago Bulls,82,97.8,36.6,82.2,44.6,6.8,18.0,37.9,17.7,24.0,73.8,11.0,31.7,42.8,22.0,6.2,4.2,14.9,24.9,NBA Team Regular Season Stats 2005-06
Milwaukee Bucks,82,97.8,36.3,80.1,45.3,6.2,16.3,38.0,19.0,25.8,73.8,11.3,29.9,41.2,21.6,7.3,3.3,14.6,23.2,NBA Team Regular Season Stats 2005-06
Cleveland Cavaliers,82,97.6,35.5,78.2,45.4,6.1,17.9,33.9,20.6,28.3,72.9,11.7,30.6,42.3,19.0,6.9,4.8,13.9,21.1,NBA Team Regular Season Stats 2005-06
Atlanta Hawks,82,97.2,35.9,79.2,45.4,5.2,14.1,36.7,20.2,26.9,75.0,13.0,27.2,40.3,19.8,7.2,4.8,15.7,25.0,NBA Team Regular Season Stats 2005-06
LA Clippers,82,97.2,36.5,78.6,46.5,3.5,10.3,34.4,20.7,26.1,79.1,10.1,33.0,43.1,20.8,6.5,6.1,14.5,22.8,NBA Team Regular Season Stats 2005-06
Charlotte Bobcats,82,96.9,36.1,83.5,43.3,5.2,15.4,33.9,19.4,26.7,72.9,12.1,27.7,39.8,20.9,10.0,4.3,14.2,23.9,NBA Team Regular Season Stats 2005-06
Detroit Pistons,82,96.8,36.4,80.0,45.5,6.8,17.7,38.4,17.3,23.8,72.7,11.9,28.6,40.5,24.0,7.1,6.0,11.4,18.5,NBA Team Regular Season Stats 2005-06
New York Knicks,82,95.6,34.4,75.7,45.5,3.9,10.8,36.2,22.9,31.5,72.6,12.6,28.8,41.4,17.9,6.8,3.3,17.7,26.3,NBA Team Regular Season Stats 2005-06
San Antonio Spurs,82,95.6,36.5,77.3,47.2,6.4,16.6,38.5,16.2,23.1,70.2,10.4,31.1,41.5,20.9,6.6,5.7,13.7,20.9,NBA Team Regular Season Stats 2005-06
Orlando Magic,82,94.9,35.5,75.2,47.2,3.6,9.7,37.6,20.3,27.8,73.0,10.9,29.3,40.2,18.2,6.5,4.4,15.1,23.3,NBA Team Regular Season Stats 2005-06
Indiana Pacers,82,93.9,34.0,76.5,44.4,6.5,18.7,34.9,19.4,26.3,73.7,11.0,31.2,42.2,19.9,7.3,5.0,15.3,22.2,NBA Team Regular Season Stats 2005-06
New Jersey Nets,82,93.8,33.9,77.0,44.0,5.8,17.6,33.0,20.2,26.7,75.8,10.0,31.0,41.0,23.0,6.8,3.4,13.6,23.2,NBA Team Regular Season Stats 2005-06
"NO/Oklahoma City
 Hornets",82,92.8,34.5,78.4,44.0,3.7,10.8,33.9,20.1,26.5,75.8,11.2,29.0,40.2,18.5,7.5,3.8,13.4,21.8,NBA Team Regular Season Stats 2005-06
Utah Jazz,82,92.4,33.5,75.7,44.2,3.8,11.3,33.6,21.6,30.1,71.9,13.1,29.0,42.1,21.6,6.4,6.0,15.7,24.8,NBA Team Regular Season Stats 2005-06
Memphis Grizzlies,82,92.2,33.5,74.7,44.8,7.2,19.2,37.4,18.0,25.3,71.1,10.2,29.0,39.2,19.3,7.3,5.4,13.8,21.4,NBA Team Regular Season Stats 2005-06
Minnesota Timberwolves,82,91.7,35.2,77.3,45.6,3.8,11.5,32.9,17.5,23.1,75.8,9.9,29.5,39.4,20.9,6.8,5.7,14.5,23.0,NBA Team Regular Season Stats 2005-06
Houston Rockets,82,90.1,33.0,76.2,43.3,5.7,17.2,33.2,18.3,24.1,75.9,10.4,31.3,41.6,19.3,7.2,3.9,14.5,22.7,NBA Team Regular Season Stats 2005-06
Portland Trail Blazers,82,88.8,34.0,76.4,44.5,4.4,12.7,34.9,16.3,23.7,68.9,10.8,26.9,37.7,18.2,6.5,5.3,14.7,22.3,NBA Team Regular Season Stats 2005-06
