Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
Golden State Warriors,82,113.5,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5,8.4,35.1,43.5,29.3,8.0,7.5,15.0,19.6,NBA Team Regular Season Stats 2017-18
Houston Rockets,82,112.4,38.7,84.2,46.0,15.3,42.3,36.2,19.6,25.1,78.1,9.0,34.5,43.5,21.5,8.5,4.8,13.2,19.5,NBA Team Regular Season Stats 2017-18
New Orleans Pelicans,82,111.7,42.7,88.3,48.3,10.2,28.2,36.2,16.1,20.9,77.2,8.7,35.7,44.3,26.8,8.0,5.9,14.4,19.1,NBA Team Regular Season Stats 2017-18
Toronto Raptors,82,111.7,41.3,87.4,47.2,11.8,33.0,35.8,17.3,21.8,79.4,9.8,34.2,44.0,24.3,7.6,6.1,12.7,21.7,NBA Team Regular Season Stats 2017-18
Cleveland Cavaliers,82,110.9,40.4,84.8,47.6,12.0,32.1,37.2,18.1,23.3,77.9,8.5,33.7,42.1,23.4,7.1,3.8,13.3,18.6,NBA Team Regular Season Stats 2017-18
Denver Nuggets,82,110.0,40.7,86.6,47.0,11.5,30.9,37.1,17.1,22.3,76.7,11.0,33.5,44.5,25.1,7.6,4.9,14.3,18.7,NBA Team Regular Season Stats 2017-18
Philadelphia 76ers,82,109.8,40.8,86.6,47.2,11.0,29.8,36.9,17.1,22.8,75.2,10.9,36.5,47.4,27.1,8.3,5.1,15.9,22.1,NBA Team Regular Season Stats 2017-18
Minnesota Timberwolves,82,109.5,41.0,86.1,47.6,8.0,22.5,35.7,19.4,24.1,80.4,10.3,31.6,42.0,22.7,8.4,4.2,11.7,18.2,NBA Team Regular Season Stats 2017-18
LA Clippers,82,109.0,40.3,85.4,47.1,9.5,26.8,35.4,19.0,25.5,74.3,10.1,33.7,43.9,22.3,7.7,4.5,14.1,20.0,NBA Team Regular Season Stats 2017-18
Charlotte Hornets,82,108.2,39.0,86.7,45.0,10.0,27.2,36.9,20.2,27.0,74.7,10.1,35.4,45.5,21.6,6.8,4.5,12.3,17.2,NBA Team Regular Season Stats 2017-18
Los Angeles Lakers,82,108.1,40.7,88.4,46.1,10.0,29.1,34.5,16.6,23.3,71.4,10.7,35.7,46.4,23.8,7.7,4.7,15.3,21.2,NBA Team Regular Season Stats 2017-18
Oklahoma City Thunder,82,107.9,39.9,88.0,45.3,10.7,30.4,35.4,17.3,24.2,71.6,12.5,32.6,45.1,21.3,9.1,5.0,13.4,20.2,NBA Team Regular Season Stats 2017-18
Washington Wizards,82,106.6,39.9,85.6,46.7,9.9,26.5,37.5,16.8,21.8,77.2,10.0,33.1,43.1,25.2,7.9,4.3,14.0,21.3,NBA Team Regular Season Stats 2017-18
Brooklyn Nets,82,106.6,38.2,86.8,44.1,12.7,35.7,35.6,17.4,22.6,77.2,9.7,34.8,44.4,23.7,6.2,4.8,14.2,20.6,NBA Team Regular Season Stats 2017-18
Milwaukee Bucks,82,106.5,39.7,83.0,47.8,8.8,24.7,35.5,18.3,23.4,78.3,8.4,31.5,39.8,23.2,8.8,5.4,13.1,21.4,NBA Team Regular Season Stats 2017-18
Portland Trail Blazers,82,105.6,39.3,87.0,45.2,10.3,28.1,36.6,16.7,20.9,80.0,10.2,35.3,45.5,19.5,7.0,5.2,13.0,19.5,NBA Team Regular Season Stats 2017-18
Indiana Pacers,82,105.6,40.8,86.4,47.2,9.0,24.5,36.9,14.9,19.2,77.9,9.6,32.7,42.3,22.2,8.8,4.1,12.8,18.8,NBA Team Regular Season Stats 2017-18
New York Knicks,82,104.5,40.7,87.7,46.4,8.2,23.3,35.2,14.9,19.0,78.7,10.5,33.6,44.0,23.3,6.7,5.1,14.2,20.5,NBA Team Regular Season Stats 2017-18
Utah Jazz,82,104.1,38.3,82.9,46.2,10.8,29.6,36.6,16.8,21.5,77.9,9.0,34.2,43.3,22.4,8.6,5.1,14.1,19.6,NBA Team Regular Season Stats 2017-18
Boston Celtics,82,104.0,38.3,85.1,45.0,11.5,30.4,37.7,16.0,20.7,77.1,9.4,35.1,44.5,22.5,7.4,4.5,13.3,19.7,NBA Team Regular Season Stats 2017-18
Phoenix Suns,82,103.9,38.5,87.1,44.2,9.3,27.9,33.4,17.7,23.9,74.1,10.3,33.9,44.1,21.3,6.9,4.5,15.0,22.0,NBA Team Regular Season Stats 2017-18
Detroit Pistons,82,103.8,39.1,86.9,45.0,10.8,28.9,37.3,14.7,19.8,74.5,10.1,33.6,43.7,22.8,7.7,3.9,12.7,18.4,NBA Team Regular Season Stats 2017-18
Miami Heat,82,103.4,38.8,85.3,45.5,11.0,30.6,36.0,14.7,19.5,75.5,9.3,34.2,43.5,22.7,7.6,5.3,13.6,20.1,NBA Team Regular Season Stats 2017-18
Orlando Magic,82,103.4,38.8,85.9,45.2,10.3,29.3,35.1,15.5,20.5,75.7,8.8,32.8,41.6,23.4,7.6,4.9,13.9,19.3,NBA Team Regular Season Stats 2017-18
Atlanta Hawks,82,103.4,38.2,85.5,44.6,11.2,31.0,36.0,15.8,20.2,78.5,9.1,32.8,41.9,23.7,7.8,4.2,15.0,19.6,NBA Team Regular Season Stats 2017-18
Chicago Bulls,82,102.9,38.7,88.8,43.5,11.0,31.1,35.5,14.6,19.2,75.9,9.6,35.0,44.7,23.5,7.6,3.5,13.3,19.2,NBA Team Regular Season Stats 2017-18
San Antonio Spurs,82,102.7,39.0,85.4,45.7,8.5,24.1,35.2,16.1,20.9,77.2,10.4,33.9,44.2,22.8,7.7,5.6,12.7,17.2,NBA Team Regular Season Stats 2017-18
Dallas Mavericks,82,102.3,38.1,85.9,44.4,11.8,32.8,36.0,14.2,18.7,76.3,8.1,33.1,41.3,22.7,7.0,3.8,11.8,19.2,NBA Team Regular Season Stats 2017-18
Memphis Grizzlies,82,99.3,36.7,82.8,44.4,9.2,26.2,35.2,16.6,21.1,78.6,9.5,31.0,40.5,21.5,7.5,4.8,14.4,23.2,NBA Team Regular Season Stats 2017-18
Sacramento Kings,82,98.8,38.8,86.1,45.0,9.0,24.0,37.5,12.3,16.7,73.5,9.5,31.4,40.9,21.6,7.8,4.1,13.2,20.0,NBA Team Regular Season Stats 2017-18
