Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Dallas Mavericks,8,109.0,39.8,88.0,45.2,8.4,22.1,37.9,21.1,25.3,83.7,10.9,31.0,41.9,19.6,6.3,4.6,12.5,25.8,NBA Team Postseason Stats 2001-02
2,Minnesota Timberwolves,3,102.0,36.0,81.0,44.4,5.0,12.7,39.5,25.0,34.7,72.1,14.3,35.0,49.3,16.0,5.7,2.7,15.7,27.0,NBA Team Postseason Stats 2001-02
3,Sacramento Kings,16,101.1,36.9,82.4,44.8,5.0,16.2,30.9,22.2,29.9,74.1,12.9,32.6,45.6,20.6,7.5,4.7,14.8,23.8,NBA Team Postseason Stats 2001-02
4,Los Angeles Lakers,19,97.8,35.7,80.5,44.4,6.1,18.0,33.9,20.3,28.1,72.1,12.3,33.2,45.4,19.6,6.8,5.8,13.7,23.6,NBA Team Postseason Stats 2001-02
5,Charlotte Hornets,9,96.1,34.1,81.0,42.1,4.4,12.2,36.4,23.4,32.3,72.5,14.7,31.6,46.2,19.6,8.9,7.3,14.8,27.4,NBA Team Postseason Stats 2001-02
6,New Jersey Nets,20,95.4,35.9,82.9,43.2,4.2,14.6,28.5,19.5,26.9,72.6,12.4,30.4,42.7,21.3,7.9,5.5,14.2,24.5,NBA Team Postseason Stats 2001-02
7,Orlando Magic,4,93.8,33.3,78.5,42.4,4.3,16.5,25.8,23.0,31.0,74.2,9.0,30.5,39.5,19.5,5.5,3.8,12.0,25.8,NBA Team Postseason Stats 2001-02
8,Indiana Pacers,5,91.6,34.8,76.0,45.8,4.8,11.8,40.7,17.2,22.6,76.1,8.4,33.8,42.2,21.2,8.2,4.0,18.2,25.0,NBA Team Postseason Stats 2001-02
9,Portland Trail Blazers,3,91.3,31.3,82.0,38.2,6.7,18.0,37.0,22.0,27.7,79.5,12.0,32.0,44.0,20.7,8.3,3.0,14.7,27.0,NBA Team Postseason Stats 2001-02
10,Boston Celtics,16,91.3,32.8,78.4,41.8,7.9,22.9,34.3,17.8,22.9,77.4,10.6,32.7,43.3,18.8,8.9,4.8,14.1,22.9,NBA Team Postseason Stats 2001-02
11,San Antonio Spurs,10,91.1,32.9,76.2,43.2,5.0,14.7,34.0,20.3,26.6,76.3,11.1,29.9,41.0,16.9,6.1,6.5,11.1,20.4,NBA Team Postseason Stats 2001-02
12,Philadelphia 76ers,5,89.0,30.4,73.6,41.3,4.0,13.0,30.8,24.2,32.0,75.6,12.6,28.6,41.2,19.4,9.0,4.0,14.4,18.6,NBA Team Postseason Stats 2001-02
13,Utah Jazz,4,88.0,33.0,79.5,41.5,3.5,11.5,30.4,18.5,27.0,68.5,15.3,28.0,43.3,23.0,9.0,7.0,16.5,26.0,NBA Team Postseason Stats 2001-02
14,Seattle SuperSonics,5,86.2,34.2,79.6,43.0,4.8,12.2,39.3,13.0,19.0,68.4,11.4,28.8,40.2,17.4,4.0,4.8,10.6,23.4,NBA Team Postseason Stats 2001-02
15,Toronto Raptors,5,83.8,32.6,77.2,42.2,3.4,10.6,32.1,15.2,20.6,73.8,12.4,30.0,42.4,21.0,8.0,5.2,16.0,23.4,NBA Team Postseason Stats 2001-02
16,Detroit Pistons,10,83.0,29.4,73.6,39.9,8.0,22.6,35.4,16.2,22.4,72.3,9.6,28.1,37.7,18.7,7.3,5.6,14.6,21.0,NBA Team Postseason Stats 2001-02
