DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 20", Charlotte ,W99-88  ,James  27,Andersen  10,Wade  5,A,Miami Heat 2013-14 Postseason NBA Schedule
"Wed, Apr 23", Charlotte ,W101-97  ,James  32,James  6,James  8,A,Miami Heat 2013-14 Postseason NBA Schedule
"Sat, Apr 26",Charlotte ,W98-85  ,James  30,James  10,James  6,H,Miami Heat 2013-14 Postseason NBA Schedule
"Mon, Apr 28",Charlotte ,W109-98  ,James  31,Bosh  8,James  9,H,Miami Heat 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Miami Heat 2013-14 Postseason NBA Schedule
"Tue, May 6", Brooklyn ,W107-86  ,James  22,Bosh  11,Wade  5,A,Miami Heat 2013-14 Postseason NBA Schedule
"Thu, May 8", Brooklyn ,W94-82  ,James  22,Allen  8,Wade  7,A,Miami Heat 2013-14 Postseason NBA Schedule
"Sat, May 10",Brooklyn ,L104-90  ,James  28,James  8,James  5,H,Miami Heat 2013-14 Postseason NBA Schedule
"Mon, May 12",Brooklyn ,W102-96  ,James  49,Allen  7,Chalmers  7,H,Miami Heat 2013-14 Postseason NBA Schedule
"Wed, May 14", Brooklyn ,W96-94  ,James  29,James  9,Chalmers  7,A,Miami Heat 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Miami Heat 2013-14 Postseason NBA Schedule
"Sun, May 18",Indiana ,L107-96  ,Wade  27,James  10,James  5,H,Miami Heat 2013-14 Postseason NBA Schedule
"Tue, May 20",Indiana ,W87-83  ,Wade  23,Andersen  12,James  6,H,Miami Heat 2013-14 Postseason NBA Schedule
"Sat, May 24", Indiana ,W99-87  ,James  26,Andersen  7,James  7,A,Miami Heat 2013-14 Postseason NBA Schedule
"Mon, May 26", Indiana ,W102-90  ,James  32,James  10,James  5,A,Miami Heat 2013-14 Postseason NBA Schedule
"Wed, May 28",Indiana ,L93-90  ,Bosh  20,Bosh  10,Wade  7,H,Miami Heat 2013-14 Postseason NBA Schedule
"Fri, May 30", Indiana ,W117-92  ,Bosh  25,Andersen  10,James  6,A,Miami Heat 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Miami Heat 2013-14 Postseason NBA Schedule
"Thu, Jun 5",San Antonio ,L110-95  ,James  25,Bosh  9,Cole  5,H,Miami Heat 2013-14 Postseason NBA Schedule
"Sun, Jun 8",San Antonio ,W98-96  ,James  35,James  10,Wade  4,H,Miami Heat 2013-14 Postseason NBA Schedule
"Tue, Jun 10", San Antonio ,L111-92  ,James  22,James  5,James  7,A,Miami Heat 2013-14 Postseason NBA Schedule
"Thu, Jun 12", San Antonio ,L107-86  ,James  28,James  8,Chalmers  5,A,Miami Heat 2013-14 Postseason NBA Schedule
"Sun, Jun 15",San Antonio ,L104-87  ,James  31,James  10,James  5,H,Miami Heat 2013-14 Postseason NBA Schedule
