DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 17", New Orleans ,L109-100  ,Bryant  34,World Peace  11,Gasol  6,A,Los Angeles Lakers 2010-11 Postseason NBA Schedule
"Wed, Apr 20", New Orleans ,W87-78  ,Bynum  17,Bynum  11,Blake  5,A,Los Angeles Lakers 2010-11 Postseason NBA Schedule
"Fri, Apr 22",New Orleans ,W100-86  ,Bryant  30,Bynum  11,Fisher  5,H,Los Angeles Lakers 2010-11 Postseason NBA Schedule
"Sun, Apr 24",New Orleans ,L93-88  ,Bryant  17,Bynum  9,Bryant  8,H,Los Angeles Lakers 2010-11 Postseason NBA Schedule
"Tue, Apr 26", New Orleans ,W106-90  ,Bryant  19,Bynum  10,Bryant  4,A,Los Angeles Lakers 2010-11 Postseason NBA Schedule
"Thu, Apr 28",New Orleans ,W98-80  ,Bryant  24,Bynum  12,World Peace  5,H,Los Angeles Lakers 2010-11 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2010-11 Postseason NBA Schedule
"Mon, May 2", Dallas ,L96-94  ,Bryant  36,Odom  12,Gasol  7,A,Los Angeles Lakers 2010-11 Postseason NBA Schedule
"Wed, May 4", Dallas ,L93-81  ,Bryant  23,Bynum  13,Fisher  5,A,Los Angeles Lakers 2010-11 Postseason NBA Schedule
"Fri, May 6",Dallas ,L98-92  ,Bynum  21,Bynum  10,Bryant  6,H,Los Angeles Lakers 2010-11 Postseason NBA Schedule
"Sun, May 8",Dallas ,L122-86  ,Bryant  17,Gasol  8,Gasol  6,H,Los Angeles Lakers 2010-11 Postseason NBA Schedule
