DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Fri, Feb 29",Chicago ,W97-91  ,28-30,Jamison  17,Jamison  15,Daniels  5,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sun, Mar 2", New Orleans ,W101-84  ,29-30,Jamison  28,Haywood  10,Stevenson  5,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Mar 5", Orlando ,L122-92  ,29-31,Jamison  19,Jamison  6,Blatche  5,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Mar 7",Toronto ,W110-106 OT ,30-31,Jamison  25,Jamison  16,Stevenson  7,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Mar 8", Charlotte ,L100-97  ,30-32,Jamison  30,Jamison  10,Stevenson  6,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Tue, Mar 11", Milwaukee ,W105-97  ,31-32,Jamison  23,Jamison  8,Daniels  6,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Thu, Mar 13", Cleveland ,W101-99  ,32-32,Butler  19,Jamison  10,Daniels  7,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Mar 15", LA ,W119-109 OT ,33-32,Jamison  36,Butler  12,Butler  7,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Mon, Mar 17", Atlanta ,L105-96  ,33-33,Jamison  25,Jamison  9,Butler  8,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Mar 19",Orlando ,W87-86  ,34-33,Jamison  31,Jamison  11,Daniels  5,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Mar 21",Miami ,W103-86  ,35-33,Butler  25,Jamison  10,Daniels  7,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sun, Mar 23", Detroit ,W95-83  ,36-33,Jamison  24,Jamison  12,Daniels  9,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Tue, Mar 25",Portland ,L102-82  ,36-34,Butler  19,Jamison  8,Daniels  8,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Mar 26",Seattle ,W104-99  ,37-34,Mason Jr.  22,Jamison  12,Butler  9,H,Washington Wizards 2007-08 Regular Season NBA Schedule
