DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 20",LA ,L112-91  ,Bayless  19,Davis  6,Gasol  7,H,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Mon, Apr 22",LA ,L93-91  ,Conley  28,Allen  10,Conley  9,H,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Thu, Apr 25", LA ,W94-82  ,Randolph  27,Randolph  11,Conley  10,A,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Sat, Apr 27", LA ,W104-83  ,Gasol  24,Gasol  13,Conley  13,A,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Tue, Apr 30",LA ,W103-93  ,Randolph  25,Randolph  11,Conley  6,H,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Fri, May 3", LA ,W118-105  ,Randolph  23,Allen  7,Conley  7,A,Memphis Grizzlies 2012-13 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Sun, May 5",Oklahoma City ,L93-91  ,Gasol  20,Gasol  10,Gasol  3,H,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Tue, May 7",Oklahoma City ,W99-93  ,Conley  26,Conley  10,Conley  9,H,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Sat, May 11", Oklahoma City ,W87-81  ,Gasol  20,Randolph  10,Conley  6,A,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Mon, May 13", Oklahoma City ,W103-97 OT ,Conley  24,Randolph  12,Conley  5,A,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Wed, May 15",Oklahoma City ,W88-84  ,Randolph  28,Randolph  14,Conley  11,H,Memphis Grizzlies 2012-13 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Sun, May 19",San Antonio ,L105-83  ,Pondexter  17,Gasol  7,Conley  8,H,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Tue, May 21",San Antonio ,L93-89 OT ,Conley  18,Randolph  18,Conley  4,H,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Sat, May 25", San Antonio ,L104-93 OT ,Conley  20,Randolph  15,Gasol  5,A,Memphis Grizzlies 2012-13 Postseason NBA Schedule
"Mon, May 27", San Antonio ,L93-86  ,Pondexter  22,Randolph  8,Conley  7,A,Memphis Grizzlies 2012-13 Postseason NBA Schedule
