DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 16", Atlanta ,W114-107  ,Wall  32,Gortat  10,Wall  14,A,Washington Wizards 2016-17 Postseason NBA Schedule
"Wed, Apr 19", Atlanta ,W109-101  ,Wall  32,Gortat  10,Wall  9,A,Washington Wizards 2016-17 Postseason NBA Schedule
"Sat, Apr 22",Atlanta ,L116-98  ,Wall  29,Gortat  9,Wall  7,H,Washington Wizards 2016-17 Postseason NBA Schedule
"Mon, Apr 24",Atlanta ,L111-101  ,Beal  32,Gortat  18,Wall  10,H,Washington Wizards 2016-17 Postseason NBA Schedule
"Wed, Apr 26", Atlanta ,W103-99  ,Beal  27,Gortat  10,Wall  14,A,Washington Wizards 2016-17 Postseason NBA Schedule
"Fri, Apr 28",Atlanta ,W115-99  ,Wall  42,Morris  8,Wall  8,H,Washington Wizards 2016-17 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Washington Wizards 2016-17 Postseason NBA Schedule
"Sun, Apr 30",Boston ,L123-111  ,Beal  27,Gortat  13,Wall  16,H,Washington Wizards 2016-17 Postseason NBA Schedule
"Tue, May 2",Boston ,L129-119 OT ,Wall  40,Gortat  10,Wall  13,H,Washington Wizards 2016-17 Postseason NBA Schedule
"Thu, May 4", Boston ,W116-89  ,Wall  24,Gortat  16,Wall  8,A,Washington Wizards 2016-17 Postseason NBA Schedule
"Sun, May 7", Boston ,W121-102  ,Beal  29,Morris  10,Wall  12,A,Washington Wizards 2016-17 Postseason NBA Schedule
"Wed, May 10",Boston ,L123-101  ,Wall  21,Gortat  11,Wall  4,H,Washington Wizards 2016-17 Postseason NBA Schedule
"Fri, May 12", Boston ,W92-91  ,Beal  33,Gortat  12,Wall  8,A,Washington Wizards 2016-17 Postseason NBA Schedule
"Mon, May 15",Boston ,L115-105  ,Beal  38,Porter Jr.  10,Wall  11,H,Washington Wizards 2016-17 Postseason NBA Schedule
