DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 17", Houston ,W72-71  ,O'Neal  20,O'Neal  17,Bryant  6,A,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Mon, Apr 19", Houston ,W98-84  ,Bryant  36,Malone  8,Payton  7,A,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Fri, Apr 23",Houston ,L102-91  ,O'Neal  25,O'Neal  11,Payton  7,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Sun, Apr 25",Houston ,W92-88 OT ,Malone  30,Malone  13,Payton  7,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Wed, Apr 28", Houston ,W97-78  ,Bryant  31,Malone  9,Bryant  10,A,Los Angeles Lakers 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Sun, May 2",San Antonio ,L88-78  ,Bryant  31,O'Neal  13,Malone  5,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Wed, May 5",San Antonio ,L95-85  ,O'Neal  32,O'Neal  15,Bryant  8,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Sun, May 9", San Antonio ,W105-81  ,O'Neal  28,O'Neal  15,Payton  7,A,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Tue, May 11", San Antonio ,W98-90  ,Bryant  42,O'Neal  14,Malone  6,A,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Thu, May 13",San Antonio ,W74-73  ,Bryant  22,Malone  12,Payton  7,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Sat, May 15", San Antonio ,W88-76  ,Bryant  26,O'Neal  19,Bryant  7,A,Los Angeles Lakers 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Fri, May 21",Minnesota ,W97-88  ,O'Neal  27,O'Neal  18,Bryant  6,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Sun, May 23",Minnesota ,L89-71  ,Bryant  27,O'Neal  16,Bryant  6,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Tue, May 25", Minnesota ,W100-89  ,O'Neal  22,O'Neal  17,Payton  9,A,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Thu, May 27", Minnesota ,W92-85  ,Bryant  31,O'Neal  19,Malone  8,A,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Sat, May 29",Minnesota ,L98-96  ,Bryant  23,O'Neal  13,Bryant  7,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Mon, May 31", Minnesota ,W96-90  ,O'Neal  25,O'Neal  11,Payton  8,A,Los Angeles Lakers 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Sun, Jun 6", Detroit ,L87-75  ,O'Neal  34,O'Neal  11,Bryant  4,A,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Tue, Jun 8", Detroit ,W99-91 OT ,Bryant  33,Malone  9,Walton  8,A,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Thu, Jun 10",Detroit ,L88-68  ,O'Neal  14,O'Neal  8,Payton  7,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Sun, Jun 13",Detroit ,L88-80  ,O'Neal  36,O'Neal  20,Fox  6,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
"Tue, Jun 15",Detroit ,L100-87  ,Bryant  24,O'Neal  8,Walton  5,H,Los Angeles Lakers 2003-04 Postseason NBA Schedule
