DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Oct 5", Milwaukee ,W87-77  ,1-0,Morant  27,Adams  10,Morant  4,A,Memphis Grizzlies 2021-22 Preseason NBA Schedule
"Thu, Oct 7",Charlotte ,W128-98  ,2-0,Bane  19,Adams  16,Morant  8,H,Memphis Grizzlies 2021-22 Preseason NBA Schedule
"Sat, Oct 9", Atlanta ,L91-87  ,2-1,Bane  18,Tillman  11,Tillman  4,A,Memphis Grizzlies 2021-22 Preseason NBA Schedule
"Mon, Oct 11", Detroit ,W127-92  ,3-1,Morant  24,Adams  9,Morant  5,A,Memphis Grizzlies 2021-22 Preseason NBA Schedule
"Wed, Oct 13",Indiana ,L109-107  ,3-2,Merrill  30,Aldama  11,Konchar  6,H,Memphis Grizzlies 2021-22 Preseason NBA Schedule
"Fri, Oct 15",Chicago ,L118-105  ,3-3,Jackson Jr.  29,Adams  9,Jones  5,H,Memphis Grizzlies 2021-22 Preseason NBA Schedule
