DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 17",Miami ,L123-91  ,Batum  24,Zeller  7,Lin  3,H,Charlotte Hornets 2015-16 Postseason NBA Schedule
"Wed, Apr 20",Miami ,L115-103  ,Walker  29,Jefferson  7,Walker  3,H,Charlotte Hornets 2015-16 Postseason NBA Schedule
"Sat, Apr 23", Miami ,W96-80  ,Lin  18,Williams  14,Walker  7,A,Charlotte Hornets 2015-16 Postseason NBA Schedule
"Mon, Apr 25", Miami ,W89-85  ,Walker  34,Hawes  8,Lin  3,A,Charlotte Hornets 2015-16 Postseason NBA Schedule
"Wed, Apr 27",Miami ,W90-88  ,Williams  17,Williams  8,Lin  7,H,Charlotte Hornets 2015-16 Postseason NBA Schedule
"Fri, Apr 29", Miami ,L97-90  ,Walker  37,Jefferson  9,Walker  5,A,Charlotte Hornets 2015-16 Postseason NBA Schedule
"Sun, May 1",Miami ,L106-73  ,Kaminsky  12,Zeller  7,Walker  6,H,Charlotte Hornets 2015-16 Postseason NBA Schedule
