DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 23", Memphis ,W103-93  ,Nowitzki  31,Dampier  12,Terry  4,A,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Wed, Apr 26", Memphis ,W94-79  ,Nowitzki  31,Howard  6,Terry  9,A,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Sat, Apr 29",Memphis ,W94-89 OT ,Nowitzki  36,Nowitzki  9,Nowitzki  5,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Mon, May 1",Memphis ,W102-76  ,Nowitzki  27,Howard  9,Stackhouse  5,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Sun, May 7",San Antonio ,L87-85  ,Stackhouse  24,Nowitzki  14,Daniels  3,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Tue, May 9",San Antonio ,W113-91  ,Howard  27,Howard  9,Harris  3,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Sat, May 13", San Antonio ,W104-103  ,Nowitzki  27,Nowitzki  15,Terry  4,A,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Mon, May 15", San Antonio ,W123-118 OT ,Terry  32,Nowitzki  9,Harris  6,A,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Wed, May 17",San Antonio ,L98-97  ,Nowitzki  31,Nowitzki  10,Terry  5,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Fri, May 19", San Antonio ,L91-86  ,Nowitzki  26,Nowitzki  21,Nowitzki  5,A,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Mon, May 22",San Antonio ,W119-111 OT ,Nowitzki  37,Nowitzki  15,Stackhouse  6,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Wed, May 24", Phoenix ,L121-118  ,Harris  30,Nowitzki  19,Stackhouse  3,A,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Fri, May 26", Phoenix ,W105-98  ,Nowitzki  30,Nowitzki  14,Nowitzki  6,A,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Sun, May 28",Phoenix ,W95-88  ,Nowitzki  28,Nowitzki  17,Nowitzki  5,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Tue, May 30",Phoenix ,L106-86  ,Howard  16,Howard  9,Harris  5,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Thu, Jun 1", Phoenix ,W117-101  ,Nowitzki  50,Nowitzki  12,Terry  9,A,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Sat, Jun 3",Phoenix ,W102-93  ,Nowitzki  24,Howard  15,Nowitzki  3,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Thu, Jun 8", Miami ,W90-80  ,Terry  32,Howard  12,Nowitzki  4,A,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Sun, Jun 11", Miami ,W99-85  ,Nowitzki  26,Nowitzki  16,Terry  9,A,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Tue, Jun 13",Miami ,L98-96  ,Nowitzki  30,Dampier  9,Terry  5,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Thu, Jun 15",Miami ,L98-74  ,Terry  17,Nowitzki  9,Stackhouse  4,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Sun, Jun 18",Miami ,L101-100 OT ,Terry  35,Howard  10,Daniels  4,H,Dallas Mavericks 2005-06 Postseason NBA Schedule
"Tue, Jun 20", Miami ,L95-92  ,Nowitzki  29,Nowitzki  15,Terry  5,A,Dallas Mavericks 2005-06 Postseason NBA Schedule
