DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, May 22", Dallas ,L113-103  ,Leonard  26,Leonard  10,Leonard  5,A,LA Clippers 2020-21 Postseason NBA Schedule
"Tue, May 25", Dallas ,L127-121  ,Leonard  41,George  12,Rondo  7,A,LA Clippers 2020-21 Postseason NBA Schedule
"Fri, May 28",Dallas ,W118-108  ,Leonard  36,Leonard  8,Rondo  8,H,LA Clippers 2020-21 Postseason NBA Schedule
"Sun, May 30",Dallas ,W106-81  ,Leonard  29,Leonard  10,Rondo  4,H,LA Clippers 2020-21 Postseason NBA Schedule
"Wed, Jun 2", Dallas ,L105-100  ,George  23,Zubac  11,George  6,A,LA Clippers 2020-21 Postseason NBA Schedule
"Fri, Jun 4",Dallas ,W104-97  ,Leonard  45,George  13,George  6,H,LA Clippers 2020-21 Postseason NBA Schedule
"Sun, Jun 6", Dallas ,W126-111  ,Leonard  28,Leonard  10,George  10,A,LA Clippers 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,LA Clippers 2020-21 Postseason NBA Schedule
"Tue, Jun 8",Utah ,L112-109  ,Leonard  23,George  10,Rondo  6,H,LA Clippers 2020-21 Postseason NBA Schedule
"Thu, Jun 10",Utah ,L117-111  ,Jackson  29,George  10,George  6,H,LA Clippers 2020-21 Postseason NBA Schedule
"Sat, Jun 12", Utah ,W132-106  ,Leonard  34,Leonard  12,Leonard  5,A,LA Clippers 2020-21 Postseason NBA Schedule
"Mon, Jun 14", Utah ,W118-104  ,George  31,George  9,George  4,A,LA Clippers 2020-21 Postseason NBA Schedule
"Wed, Jun 16",Utah ,W119-111  ,George  37,George  16,George  5,H,LA Clippers 2020-21 Postseason NBA Schedule
"Fri, Jun 18", Utah ,W131-119  ,Mann  39,George  9,Jackson  10,A,LA Clippers 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,LA Clippers 2020-21 Postseason NBA Schedule
"Sun, Jun 20",Phoenix ,L120-114  ,George  34,Batum  10,Rondo  7,H,LA Clippers 2020-21 Postseason NBA Schedule
"Tue, Jun 22",Phoenix ,L104-103  ,George  26,Zubac  11,George  6,H,LA Clippers 2020-21 Postseason NBA Schedule
"Thu, Jun 24", Phoenix ,W106-92  ,George  27,Zubac  16,George  8,A,LA Clippers 2020-21 Postseason NBA Schedule
"Sat, Jun 26", Phoenix ,L84-80  ,George  23,George  16,George  6,A,LA Clippers 2020-21 Postseason NBA Schedule
"Mon, Jun 28",Phoenix ,W116-102  ,George  41,George  13,George  6,H,LA Clippers 2020-21 Postseason NBA Schedule
"Wed, Jun 30", Phoenix ,L130-103  ,Morris Sr.  26,Morris Sr.  9,Jackson  8,A,LA Clippers 2020-21 Postseason NBA Schedule
