DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 15", Memphis ,W111-82  ,Leonard  32,Dedmon  8,Leonard  5,A,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Mon, Apr 17", Memphis ,W96-82  ,Leonard  37,Leonard  11,Mills  3,A,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Thu, Apr 20",Memphis ,L105-94  ,Leonard  18,Aldridge  11,Leonard  3,H,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Sat, Apr 22",Memphis ,L110-108 OT ,Leonard  43,Gasol  11,Parker  5,H,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Tue, Apr 25", Memphis ,W116-103  ,Leonard  28,Aldridge  9,Leonard  6,A,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Thu, Apr 27",Memphis ,W103-96  ,Leonard  29,Aldridge  12,Leonard  4,H,San Antonio Spurs 2016-17 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Mon, May 1", Houston ,L126-99  ,Leonard  21,Leonard  11,Leonard  6,A,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Wed, May 3", Houston ,W121-96  ,Leonard  34,Gasol  13,Leonard  8,A,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Fri, May 5",Houston ,W103-92  ,Leonard  26,Leonard  10,Leonard  7,H,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Sun, May 7",Houston ,L125-104  ,Simmons  17,Gasol  7,Mills  5,H,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Tue, May 9", Houston ,W110-107 OT ,Leonard  22,Leonard  15,Ginobili  5,A,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Thu, May 11",Houston ,W114-75  ,Aldridge  34,Aldridge  12,Mills  7,H,San Antonio Spurs 2016-17 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Sun, May 14",Golden State ,L113-111  ,Aldridge  28,Leonard  8,Aldridge  3,H,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Tue, May 16",Golden State ,L136-100  ,Simmons  22,Dedmon  9,Murray  6,H,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Sat, May 20", Golden State ,L120-108  ,Ginobili  21,Gasol  10,Mills  6,A,San Antonio Spurs 2016-17 Postseason NBA Schedule
"Mon, May 22", Golden State ,L129-115  ,Anderson  20,Gasol  9,Ginobili  7,A,San Antonio Spurs 2016-17 Postseason NBA Schedule
