DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Fri, Nov 2", Sacramento ,W92-80  ,1-0,Barea  21,Cunningham  9,Roy  6,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Sun, Nov 4",Toronto ,L105-86  ,1-1,Kirilenko  17,Williams  8,Ridnour  5,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Mon, Nov 5",Brooklyn ,W107-96  ,2-1,Pekovic  21,Cunningham  11,Roy  7,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Wed, Nov 7", Orlando ,W90-75  ,3-1,Ridnour  19,Williams  6,Roy  9,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Fri, Nov 9", Indiana ,W96-94  ,4-1,Budinger  18,Pekovic  8,Shved  7,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Sat, Nov 10",Chicago ,L87-80  ,4-2,Pekovic  18,Kirilenko  12,Kirilenko  6,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Mon, Nov 12",Dallas ,W90-82  ,5-2,Pekovic  20,Kirilenko  11,Ridnour  7,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Wed, Nov 14", Charlotte ,L89-87  ,5-3,Kirilenko  26,Kirilenko  12,Ridnour  10,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Fri, Nov 16", Golden State ,L106-98  ,5-4,Williams  23,Williams  7,Shved  7,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Wed, Nov 21", Denver ,L101-94  ,5-5,Love  34,Love  14,Ridnour  6,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Fri, Nov 23",Portland ,L103-95  ,5-6,Love  24,Love  13,Kirilenko  5,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Sat, Nov 24",Golden State ,L96-85  ,5-7,Pekovic  17,Love  15,Barea  10,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Tue, Nov 27",Sacramento ,W97-89  ,6-7,Love  23,Love  24,Barea  6,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Wed, Nov 28",LA ,L101-95  ,6-8,Love  19,Love  12,Ridnour  7,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Fri, Nov 30", Milwaukee ,W95-85  ,7-8,Ridnour  16,Pekovic  16,Shved  5,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Tue, Dec 4",Philadelphia ,W105-88  ,8-8,Shved  17,Howard  10,Barea  10,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Wed, Dec 5",Boston ,L104-94  ,8-9,Love  19,Love  13,Ridnour  5,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Fri, Dec 7", Cleveland ,W91-73  ,9-9,Love  36,Love  13,Ridnour  7,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Wed, Dec 12", Denver ,W108-105  ,10-9,Pekovic  22,Love  14,Barea  8,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Fri, Dec 14",New Orleans ,W113-102  ,11-9,Pekovic  31,Kirilenko  11,Ridnour  10,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Sat, Dec 15", Dallas ,W114-106 OT ,12-9,Pekovic  21,Kirilenko  10,Rubio  9,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Mon, Dec 17",Orlando ,L102-93  ,12-10,Love  23,Love  15,Kirilenko  6,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Tue, Dec 18",Miami ,L103-92  ,12-11,Kirilenko  22,Love  18,Shved  8,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Thu, Dec 20", Oklahoma City ,W99-93  ,13-11,Love  28,Love  11,Shved  12,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Sun, Dec 23",New York ,L94-91  ,13-12,Pekovic  21,Pekovic  17,Ridnour  5,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Wed, Dec 26", Houston ,L87-84  ,13-13,Barea  18,Love  12,Ridnour  4,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Sat, Dec 29", Phoenix ,W111-107  ,14-13,Pekovic  28,Love  18,Shved  10,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Wed, Jan 2",Utah ,L106-84  ,14-14,Love  13,Love  10,Barea  4,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Thu, Jan 3",Denver ,W101-97  ,15-14,Shved  17,Love  17,Shved  5,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Sat, Jan 5", Portland ,L102-97  ,15-15,Pekovic  21,Pekovic  15,Barea  7,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Tue, Jan 8", Atlanta ,W108-103  ,16-15,Pekovic  25,Pekovic  18,Rubio  8,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Wed, Jan 9",Oklahoma City ,L106-84  ,16-16,Shved  18,Williams  11,Rubio  7,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Fri, Jan 11",New Orleans ,L104-92  ,16-17,Ridnour  20,Cunningham  9,Shved  7,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Sun, Jan 13",San Antonio ,L106-88  ,16-18,Barea  15,Kirilenko  11,Barea  6,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Mon, Jan 14",Dallas ,L113-98  ,16-19,Barea  21,Pekovic  12,Rubio  6,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Thu, Jan 17", LA ,L90-77  ,16-20,Ridnour  21,Pekovic  9,Rubio  6,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Sat, Jan 19", Houston ,W92-79  ,17-20,Kirilenko  21,Kirilenko  11,Rubio  6,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Mon, Jan 21",Atlanta ,L104-96  ,17-21,Williams  17,Kirilenko  6,Barea  7,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Wed, Jan 23", Brooklyn ,L91-83  ,17-22,Kirilenko  15,Kirilenko  6,Barea  8,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Fri, Jan 25",Washington ,L114-101  ,17-23,Williams  18,Williams  11,Rubio  6,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Sat, Jan 26",Charlotte ,L102-101  ,17-24,Ridnour  22,Ridnour  7,Rubio  8,H,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
"Wed, Jan 30", LA ,L96-90  ,17-25,Pekovic  17,Pekovic  12,Kirilenko  4,A,Minnesota Timberwolves 2012-13 Regular Season NBA Schedule
