DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Fri, Mar 19",Miami ,W137-110  ,18-22,Brogdon  27,Sabonis  15,McConnell  15,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sun, Mar 21",Miami ,W109-106 OT ,19-22,Sabonis  17,Sabonis  11,Brogdon  10,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Mon, Mar 22",Milwaukee ,L140-113  ,19-23,Sabonis  22,Sabonis  9,McConnell  7,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Wed, Mar 24", Detroit ,W116-111  ,20-23,LeVert  28,Sabonis  11,McConnell  5,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Fri, Mar 26",Dallas ,W109-94  ,21-23,Sabonis  22,Sabonis  15,Sabonis  5,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Mon, Mar 29",Washington ,L132-124  ,21-24,Sabonis  35,Sabonis  11,McConnell  9,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Wed, Mar 31", Miami ,L92-87  ,21-25,Turner  15,Sabonis  14,LeVert  6,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Fri, Apr 2", Charlotte ,L114-97  ,21-26,LeVert  16,Sabonis  10,McConnell  7,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sat, Apr 3",San Antonio ,W139-133 OT ,22-26,LeVert  26,McConnell  7,LeVert  9,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Tue, Apr 6", Chicago ,L113-97  ,22-27,LeVert  20,LeVert  6,Bitadze  6,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Wed, Apr 7", Minnesota ,W141-137  ,23-27,Holiday  22,Martin  6,McConnell  15,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Fri, Apr 9",Orlando ,W111-106  ,24-27,Holiday  20,Sabonis  15,McConnell  9,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sun, Apr 11",Memphis ,W132-125  ,25-27,LeVert  34,Sabonis  15,Brogdon  11,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Tue, Apr 13", LA ,L126-115  ,25-28,Brogdon  29,Sabonis  13,LeVert  6,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Wed, Apr 14",Houston ,W132-124  ,26-28,LeVert  27,Brogdon  13,Brogdon  9,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Fri, Apr 16",Utah ,L119-111  ,26-29,LeVert  24,Sabonis  15,McConnell  8,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sun, Apr 18",Atlanta ,L129-117  ,26-30,Brogdon  29,Sabonis  14,Brogdon  8,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Mon, Apr 19", San Antonio ,L109-94  ,26-31,Brogdon  18,Bitadze  9,Sumner  6,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Wed, Apr 21", Oklahoma City ,W122-116  ,27-31,Brogdon  29,Brogdon  15,McConnell  8,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sat, Apr 24", Detroit ,W115-109  ,28-31,Brogdon  26,Brissett  11,McConnell  13,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sun, Apr 25",Orlando ,W131-112  ,29-31,Brogdon  24,Brogdon  8,Brogdon  9,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Tue, Apr 27", Portland ,L133-112  ,29-32,Brissett  18,Brissett  10,McConnell  6,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Thu, Apr 29", Brooklyn ,L130-113  ,29-33,LeVert  36,Brissett  9,LeVert  5,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sat, May 1",Oklahoma City ,W152-95  ,30-33,McDermott  31,Sabonis  19,Sabonis  14,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Mon, May 3",Washington ,L154-141  ,30-34,LeVert  33,Sabonis  19,Sabonis  9,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Wed, May 5", Sacramento ,L104-93  ,30-35,Sabonis  17,Sabonis  13,Sabonis  8,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Thu, May 6", Atlanta ,W133-126  ,31-35,LeVert  31,Sabonis  8,LeVert  12,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sat, May 8", Washington ,L133-132 OT ,31-36,LeVert  35,LeVert  14,Sabonis  13,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Mon, May 10",Cleveland ,W111-102  ,32-36,Martin  25,Sabonis  20,LeVert  10,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Tue, May 11", Philadelphia ,W103-94  ,33-36,LeVert  24,Sabonis  13,Sabonis  15,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Thu, May 13", Milwaukee ,L142-133  ,34-38,Holiday  26,Martin  9,Sabonis  14,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sat, May 15", Los Angeles ,L122-115  ,34-38,LeVert  28,Bitadze  7,LeVert  12,A,Indiana Pacers 2020-21 Regular Season NBA Schedule
"Sun, May 16",Toronto ,W125-113  ,34-38,Brissett  31,Sabonis  16,McConnell  17,H,Indiana Pacers 2020-21 Regular Season NBA Schedule
