DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 16",Orlando ,W103-93  ,Johnson  25,Smith  8,Johnson  5,H,Atlanta Hawks 2010-11 Postseason NBA Schedule
"Tue, Apr 19",Orlando ,L88-82  ,Crawford  25,Horford  10,Johnson  5,H,Atlanta Hawks 2010-11 Postseason NBA Schedule
"Fri, Apr 22", Orlando ,W88-84  ,Crawford  23,Smith  10,Johnson  5,A,Atlanta Hawks 2010-11 Postseason NBA Schedule
"Sun, Apr 24", Orlando ,W88-85  ,Crawford  25,Horford  12,Crawford  6,A,Atlanta Hawks 2010-11 Postseason NBA Schedule
"Tue, Apr 26",Orlando ,L101-76  ,Smith  22,Horford  14,Horford  6,H,Atlanta Hawks 2010-11 Postseason NBA Schedule
"Thu, Apr 28", Orlando ,W84-81  ,Johnson  23,Horford  12,Horford  6,A,Atlanta Hawks 2010-11 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Atlanta Hawks 2010-11 Postseason NBA Schedule
"Mon, May 2",Chicago ,W103-95  ,Johnson  34,Horford  13,Teague  5,H,Atlanta Hawks 2010-11 Postseason NBA Schedule
"Wed, May 4",Chicago ,L86-73  ,Teague  21,Horford  14,Horford  6,H,Atlanta Hawks 2010-11 Postseason NBA Schedule
"Fri, May 6", Chicago ,L99-82  ,Teague  21,Smith  13,Smith  4,A,Atlanta Hawks 2010-11 Postseason NBA Schedule
"Sun, May 8", Chicago ,W100-88  ,Johnson  24,Smith  16,Smith  8,A,Atlanta Hawks 2010-11 Postseason NBA Schedule
"Tue, May 10",Chicago ,L95-83  ,Teague  21,Horford  10,Teague  7,H,Atlanta Hawks 2010-11 Postseason NBA Schedule
"Thu, May 12", Chicago ,L93-73  ,Johnson  19,Pachulia  13,Johnson  4,A,Atlanta Hawks 2010-11 Postseason NBA Schedule
