DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 15", Milwaukee ,L97-83  ,DeRozan  27,Ibaka  14,Lowry  6,A,Toronto Raptors 2016-17 Postseason NBA Schedule
"Tue, Apr 18", Milwaukee ,W106-100  ,DeRozan  23,Valanciunas  10,Ibaka  6,A,Toronto Raptors 2016-17 Postseason NBA Schedule
"Thu, Apr 20",Milwaukee ,L104-77  ,Wright  13,Valanciunas  7,Joseph  3,H,Toronto Raptors 2016-17 Postseason NBA Schedule
"Sat, Apr 22",Milwaukee ,W87-76  ,DeRozan  33,DeRozan  9,DeRozan  5,H,Toronto Raptors 2016-17 Postseason NBA Schedule
"Mon, Apr 24", Milwaukee ,W118-93  ,Powell  25,Valanciunas  7,Lowry  10,A,Toronto Raptors 2016-17 Postseason NBA Schedule
"Thu, Apr 27",Milwaukee ,W92-89  ,DeRozan  32,Ibaka  12,Lowry  4,H,Toronto Raptors 2016-17 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Toronto Raptors 2016-17 Postseason NBA Schedule
"Mon, May 1",Cleveland ,L116-105  ,Lowry  20,Tucker  11,Lowry  11,H,Toronto Raptors 2016-17 Postseason NBA Schedule
"Wed, May 3",Cleveland ,L125-103  ,Valanciunas  23,Joseph  6,Lowry  5,H,Toronto Raptors 2016-17 Postseason NBA Schedule
"Fri, May 5", Cleveland ,L115-94  ,DeRozan  37,Valanciunas  8,Joseph  6,A,Toronto Raptors 2016-17 Postseason NBA Schedule
"Sun, May 7", Cleveland ,L109-102  ,Ibaka  23,Tucker  12,Joseph  12,A,Toronto Raptors 2016-17 Postseason NBA Schedule
