DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 17", Memphis ,W106-74  ,Leonard  20,Duncan  11,Parker  6,A,San Antonio Spurs 2015-16 Postseason NBA Schedule
"Tue, Apr 19", Memphis ,W94-68  ,Mills  16,Duncan  9,Parker  4,A,San Antonio Spurs 2015-16 Postseason NBA Schedule
"Fri, Apr 22",Memphis ,W96-87  ,Leonard  32,Aldridge  10,Parker  7,H,San Antonio Spurs 2015-16 Postseason NBA Schedule
"Sun, Apr 24",Memphis ,W116-95  ,Leonard  21,Aldridge  10,Leonard  4,H,San Antonio Spurs 2015-16 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,San Antonio Spurs 2015-16 Postseason NBA Schedule
"Sat, Apr 30", Oklahoma City ,W124-92  ,Aldridge  38,Anderson  7,Parker  12,A,San Antonio Spurs 2015-16 Postseason NBA Schedule
"Mon, May 2", Oklahoma City ,L98-97  ,Aldridge  41,Duncan  9,Parker  6,A,San Antonio Spurs 2015-16 Postseason NBA Schedule
"Fri, May 6",Oklahoma City ,W100-96  ,Leonard  31,Leonard  11,Parker  5,H,San Antonio Spurs 2015-16 Postseason NBA Schedule
"Sun, May 8",Oklahoma City ,L111-97  ,Parker  22,West  7,Parker  3,H,San Antonio Spurs 2015-16 Postseason NBA Schedule
"Tue, May 10", Oklahoma City ,L95-91  ,Leonard  26,Aldridge  9,Parker  5,A,San Antonio Spurs 2015-16 Postseason NBA Schedule
"Thu, May 12",Oklahoma City ,L113-99  ,Leonard  22,Aldridge  14,Leonard  5,H,San Antonio Spurs 2015-16 Postseason NBA Schedule
