DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 16", Chicago ,L106-102  ,Thomas  33,Crowder  8,Horford  8,A,Boston Celtics 2016-17 Postseason NBA Schedule
"Tue, Apr 18", Chicago ,L111-97  ,Thomas  20,Horford  11,Olynyk  7,A,Boston Celtics 2016-17 Postseason NBA Schedule
"Fri, Apr 21",Chicago ,W104-87  ,Horford  18,Horford  8,Thomas  9,H,Boston Celtics 2016-17 Postseason NBA Schedule
"Sun, Apr 23",Chicago ,W104-95  ,Thomas  33,Horford  12,Thomas  7,H,Boston Celtics 2016-17 Postseason NBA Schedule
"Wed, Apr 26", Chicago ,W108-97  ,Bradley  24,Crowder  8,Horford  9,A,Boston Celtics 2016-17 Postseason NBA Schedule
"Fri, Apr 28",Chicago ,W105-83  ,Bradley  23,Horford  6,Horford  7,H,Boston Celtics 2016-17 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2016-17 Postseason NBA Schedule
"Sun, Apr 30", Washington ,W123-111  ,Thomas  33,Horford  9,Horford  10,A,Boston Celtics 2016-17 Postseason NBA Schedule
"Tue, May 2", Washington ,W129-119 OT ,Thomas  53,Horford  12,Smart  5,A,Boston Celtics 2016-17 Postseason NBA Schedule
"Thu, May 4",Washington ,L116-89  ,Horford  16,Crowder  6,Thomas  4,H,Boston Celtics 2016-17 Postseason NBA Schedule
"Sun, May 7",Washington ,L121-102  ,Thomas  19,Rozier  7,Smart  6,H,Boston Celtics 2016-17 Postseason NBA Schedule
"Wed, May 10", Washington ,W123-101  ,Bradley  29,Smart  11,Thomas  9,A,Boston Celtics 2016-17 Postseason NBA Schedule
"Fri, May 12",Washington ,L92-91  ,Thomas  27,Olynyk  8,Crowder  8,H,Boston Celtics 2016-17 Postseason NBA Schedule
"Mon, May 15", Washington ,W115-105  ,Thomas  29,Horford  6,Thomas  12,A,Boston Celtics 2016-17 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2016-17 Postseason NBA Schedule
"Wed, May 17", Cleveland ,L117-104  ,Crowder  21,Brown  9,Thomas  10,A,Boston Celtics 2016-17 Postseason NBA Schedule
"Fri, May 19", Cleveland ,L130-86  ,Brown  19,Horford  5,Smart  7,A,Boston Celtics 2016-17 Postseason NBA Schedule
"Sun, May 21",Cleveland ,W111-108  ,Smart  27,Crowder  11,Smart  7,H,Boston Celtics 2016-17 Postseason NBA Schedule
"Tue, May 23",Cleveland ,L112-99  ,Bradley  19,Crowder  8,Horford  7,H,Boston Celtics 2016-17 Postseason NBA Schedule
"Thu, May 25", Cleveland ,L135-102  ,Bradley  23,Crowder  6,Rozier  7,A,Boston Celtics 2016-17 Postseason NBA Schedule
