DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 17", Denver ,W107-103  ,Durant  41,Durant  9,Westbrook  7,A,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Wed, Apr 20", Denver ,W106-89  ,Durant  23,Ibaka  12,Westbrook  7,A,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Sat, Apr 23",Denver ,W97-94  ,Durant  26,Ibaka  16,Westbrook  8,H,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Mon, Apr 25",Denver ,L104-101  ,Durant  31,Ibaka  14,Westbrook  5,H,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Wed, Apr 27", Denver ,W100-97  ,Durant  41,Perkins  9,Westbrook  4,A,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Sun, May 1", Memphis ,L114-101  ,Durant  33,Durant  11,Westbrook  6,A,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Tue, May 3", Memphis ,W111-102  ,Durant  26,Collison  7,Westbrook  6,A,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Sat, May 7",Memphis ,L101-93 OT ,Westbrook  23,Perkins  13,Westbrook  12,H,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Mon, May 9",Memphis ,W133-123 3OT ,Westbrook  40,Durant  13,Harden  7,H,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Wed, May 11", Memphis ,W99-72  ,Durant  19,Collison  10,Maynor  9,A,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Fri, May 13",Memphis ,L95-83  ,Westbrook  27,Durant  7,Harden  5,H,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Sun, May 15", Memphis ,W105-90  ,Durant  39,Collison  12,Westbrook  14,A,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Tue, May 17",Dallas ,L121-112  ,Durant  40,Durant  8,Durant  5,H,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Thu, May 19",Dallas ,W106-100  ,Durant  24,Harden  7,Durant  4,H,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Sat, May 21", Dallas ,L93-87  ,Westbrook  30,Durant  12,Durant  5,A,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Mon, May 23", Dallas ,L112-105 OT ,Durant  29,Durant  15,Westbrook  8,A,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
"Wed, May 25",Dallas ,L100-96  ,Westbrook  31,Collison  12,Harden  6,H,Oklahoma City Thunder 2010-11 Postseason NBA Schedule
