DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Mon, Aug 17", Dallas ,W118-110  ,Leonard  29,Leonard  12,Leonard  6,A,LA Clippers 2019-20 Postseason NBA Schedule
"Wed, Aug 19", Dallas ,L127-114  ,Leonard  35,Leonard  10,Williams  7,A,LA Clippers 2019-20 Postseason NBA Schedule
"Fri, Aug 21",Dallas ,W130-122  ,Leonard  36,Leonard  9,Leonard  8,H,LA Clippers 2019-20 Postseason NBA Schedule
"Sun, Aug 23",Dallas ,L135-133 OT ,Williams  36,Leonard  9,Williams  5,H,LA Clippers 2019-20 Postseason NBA Schedule
"Tue, Aug 25", Dallas ,W154-111  ,George  35,Harrell  11,Jackson  5,A,LA Clippers 2019-20 Postseason NBA Schedule
"Sun, Aug 30",Dallas ,W111-97  ,Leonard  33,Leonard  14,Leonard  7,H,LA Clippers 2019-20 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,LA Clippers 2019-20 Postseason NBA Schedule
"Thu, Sep 3", Denver ,W120-97  ,Leonard  29,George  7,George  4,A,LA Clippers 2019-20 Postseason NBA Schedule
"Sat, Sep 5", Denver ,L110-101  ,George  22,Green  11,Leonard  8,A,LA Clippers 2019-20 Postseason NBA Schedule
"Mon, Sep 7",Denver ,W113-107  ,George  32,Leonard  14,Leonard  6,H,LA Clippers 2019-20 Postseason NBA Schedule
"Wed, Sep 9",Denver ,W96-85  ,Leonard  30,Leonard  11,Leonard  9,H,LA Clippers 2019-20 Postseason NBA Schedule
"Fri, Sep 11", Denver ,L111-105  ,Leonard  36,Leonard  9,George  6,A,LA Clippers 2019-20 Postseason NBA Schedule
"Sun, Sep 13",Denver ,L111-98  ,George  33,Zubac  12,Leonard  5,H,LA Clippers 2019-20 Postseason NBA Schedule
"Tue, Sep 15", Denver ,L104-89  ,Harrell  20,Leonard  6,Leonard  6,A,LA Clippers 2019-20 Postseason NBA Schedule
