DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Dec 25",Dallas ,W105-94  ,1-0,James  37,Haslem  14,James  6,H,Miami Heat 2011-12 Regular Season NBA Schedule
"Tue, Dec 27", Boston ,W115-107  ,2-0,James  26,Haslem  12,Wade  8,A,Miami Heat 2011-12 Regular Season NBA Schedule
"Wed, Dec 28",Charlotte ,W96-95  ,3-0,James  35,James  6,James  7,H,Miami Heat 2011-12 Regular Season NBA Schedule
"Fri, Dec 30",Minnesota ,W103-101  ,4-0,James  34,Bosh  9,James  10,H,Miami Heat 2011-12 Regular Season NBA Schedule
"Sun, Jan 1", Charlotte ,W129-90  ,5-0,Bosh  24,Bosh  10,Cole  9,A,Miami Heat 2011-12 Regular Season NBA Schedule
"Mon, Jan 2", Atlanta ,L100-92  ,5-1,James  28,Haslem  10,Wade  10,A,Miami Heat 2011-12 Regular Season NBA Schedule
"Wed, Jan 4", Indiana ,W118-83  ,6-1,James  33,Haslem  10,James  13,A,Miami Heat 2011-12 Regular Season NBA Schedule
"Thu, Jan 5",Atlanta ,W116-109 3OT ,7-1,Bosh  33,Bosh  14,Chalmers  8,H,Miami Heat 2011-12 Regular Season NBA Schedule
"Sat, Jan 7",New Jersey ,W101-90  ,8-1,James  32,Haslem  12,James  9,H,Miami Heat 2011-12 Regular Season NBA Schedule
"Tue, Jan 10",Golden State ,L111-106 OT ,8-2,Wade  34,James  11,James  7,H,Miami Heat 2011-12 Regular Season NBA Schedule
"Wed, Jan 11",LA ,L95-89 OT ,8-3,James  23,James  13,James  7,H,Miami Heat 2011-12 Regular Season NBA Schedule
"Fri, Jan 13",Denver ,L117-104  ,8-4,James  35,Haslem  11,James  6,H,Miami Heat 2011-12 Regular Season NBA Schedule
"Tue, Jan 17", San Antonio ,W120-98  ,9-4,James  33,Bosh  8,James  10,A,Miami Heat 2011-12 Regular Season NBA Schedule
"Thu, Jan 19", Los Angeles ,W98-87  ,10-4,James  31,James  8,James  8,A,Miami Heat 2011-12 Regular Season NBA Schedule
"Sat, Jan 21", Philadelphia ,W113-92  ,11-4,Bosh  30,Haslem  10,Chalmers  8,A,Miami Heat 2011-12 Regular Season NBA Schedule
"Sun, Jan 22", Milwaukee ,L91-82  ,11-5,James  28,James  13,James  5,A,Miami Heat 2011-12 Regular Season NBA Schedule
"Tue, Jan 24", Cleveland ,W92-85  ,12-5,Bosh  35,Haslem  10,James  5,A,Miami Heat 2011-12 Regular Season NBA Schedule
"Wed, Jan 25",Detroit ,W101-98  ,13-5,James  32,James  6,James  7,H,Miami Heat 2011-12 Regular Season NBA Schedule
