DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Mon, Mar 29",Boston ,W115-109  ,21-25,Williamson  28,Hart  15,Ingram  9,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Thu, Apr 1", Orlando ,L115-110 OT ,21-26,Alexander-Walker  31,Hart  17,Bledsoe  6,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, Apr 2", Atlanta ,L126-103  ,21-27,Lewis Jr.  21,Hernangomez  9,Johnson  6,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sun, Apr 4",Houston ,W122-115  ,22-27,Ball  27,Hernangomez  12,Ball  9,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Tue, Apr 6",Atlanta ,L123-107  ,22-28,Williamson  34,Ball  9,Ball  11,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Wed, Apr 7",Brooklyn ,L139-111  ,22-29,Bledsoe  26,Hernangomez  7,Williamson  6,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, Apr 9", Philadelphia ,W101-94  ,23-29,Williamson  37,Williamson  15,Williamson  8,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sun, Apr 11",Cleveland ,W116-109  ,24-29,Williamson  38,Williamson  9,Ingram  8,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Mon, Apr 12", Sacramento ,W117-110  ,25-29,Ingram  34,Adams  16,Ingram  7,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Wed, Apr 14", New York ,L116-106  ,25-30,Ingram  28,Adams  10,Ingram  7,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, Apr 16",Washington ,L117-115 OT ,25-31,Ingram  34,Adams  12,Marshall  6,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sun, Apr 18",New York ,L122-112 OT ,25-32,Williamson  34,Adams  14,Williamson  5,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Tue, Apr 20", Brooklyn ,L134-129  ,25-33,Williamson  33,Williamson  7,Marshall  7,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Thu, Apr 22",Orlando ,W135-100  ,26-33,Ingram  29,Hernangomez  12,Ball  12,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sat, Apr 24", San Antonio ,L110-108  ,26-34,Williamson  33,Williamson  14,Ingram  6,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Mon, Apr 26", LA ,W120-103  ,27-34,Williamson  23,Hernangomez  10,Ball  7,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Wed, Apr 28",Denver ,L114-112  ,27-35,Ingram  27,Ball  12,Ball  12,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Thu, Apr 29",Oklahoma City ,W109-95  ,28-35,Williamson  27,Hernangomez  10,Williamson  6,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sat, May 1",Minnesota ,W140-136 OT ,29-35,Williamson  37,Hernangomez  12,Williamson  8,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Mon, May 3", Golden State ,L123-108  ,29-36,Williamson  32,Williamson  8,Ball  8,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Tue, May 4", Golden State ,W108-103  ,30-36,Ball  33,Williamson  12,Williamson  7,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, May 7",Philadelphia ,L109-107  ,30-37,Hayes  19,Hernangomez  9,Hernangomez  5,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sun, May 9",Charlotte ,W112-110  ,31-37,Bledsoe  24,Hernangomez  16,Bledsoe  11,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Mon, May 10",Memphis ,L115-110  ,31-38,Alexander-Walker  18,Marshall  11,Alexander-Walker  6,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Wed, May 12",Dallas ,L125-107  ,31-39,Hayes  15,Hernangomez  10,Bledsoe  4,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Fri, May 14",Golden State ,L125-122  ,31-41,Alexander-Walker  30,Marshall  13,Alexander-Walker  4,H,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
"Sun, May 16", Los Angeles ,L110-98  ,31-41,Hernangomez  19,Hernangomez  13,Marshall  7,A,New Orleans Pelicans 2020-21 Regular Season NBA Schedule
