DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 13", Brooklyn ,L111-102  ,Butler  36,Embiid  15,Harris  6,A,Philadelphia 76ers 2018-19 Postseason NBA Schedule
"Mon, Apr 15", Brooklyn ,W145-123  ,Embiid  23,Embiid  10,Simmons  12,A,Philadelphia 76ers 2018-19 Postseason NBA Schedule
"Thu, Apr 18",Brooklyn ,W131-115  ,Simmons  31,Harris  16,Simmons  9,H,Philadelphia 76ers 2018-19 Postseason NBA Schedule
"Sat, Apr 20",Brooklyn ,W112-108  ,Embiid  31,Embiid  16,Simmons  8,H,Philadelphia 76ers 2018-19 Postseason NBA Schedule
"Tue, Apr 23", Brooklyn ,W122-100  ,Embiid  23,Embiid  13,McConnell  7,A,Philadelphia 76ers 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Philadelphia 76ers 2018-19 Postseason NBA Schedule
"Sat, Apr 27",Toronto ,L108-95  ,Redick  17,Harris  15,Harris  6,H,Philadelphia 76ers 2018-19 Postseason NBA Schedule
"Mon, Apr 29",Toronto ,W94-89  ,Butler  30,Harris  11,Butler  5,H,Philadelphia 76ers 2018-19 Postseason NBA Schedule
"Thu, May 2", Toronto ,W116-95  ,Embiid  33,Embiid  10,Butler  9,A,Philadelphia 76ers 2018-19 Postseason NBA Schedule
"Sun, May 5", Toronto ,L101-96  ,Butler  29,Butler  11,Embiid  7,A,Philadelphia 76ers 2018-19 Postseason NBA Schedule
"Tue, May 7",Toronto ,L125-89  ,Butler  22,Simmons  7,Butler  7,H,Philadelphia 76ers 2018-19 Postseason NBA Schedule
"Thu, May 9", Toronto ,W112-101  ,Butler  25,Embiid  12,Butler  8,A,Philadelphia 76ers 2018-19 Postseason NBA Schedule
"Sun, May 12",Toronto ,L92-90  ,Embiid  21,Embiid  11,Simmons  5,H,Philadelphia 76ers 2018-19 Postseason NBA Schedule
