DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 16", Boston ,W102-101  ,Horford  24,Horford  12,Teague  12,A,Atlanta Hawks 2015-16 Postseason NBA Schedule
"Tue, Apr 19", Boston ,W89-72  ,Korver  17,Bazemore  9,Teague  6,A,Atlanta Hawks 2015-16 Postseason NBA Schedule
"Fri, Apr 22",Boston ,L111-103  ,Teague  23,Horford  13,Horford  6,H,Atlanta Hawks 2015-16 Postseason NBA Schedule
"Sun, Apr 24",Boston ,L104-95 OT ,Millsap  45,Millsap  13,Teague  5,H,Atlanta Hawks 2015-16 Postseason NBA Schedule
"Tue, Apr 26", Boston ,W110-83  ,Scott  17,Millsap  8,Millsap  6,A,Atlanta Hawks 2015-16 Postseason NBA Schedule
"Thu, Apr 28",Boston ,W104-92  ,Millsap  17,Korver  9,Schroder  8,H,Atlanta Hawks 2015-16 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Atlanta Hawks 2015-16 Postseason NBA Schedule
"Mon, May 2",Cleveland ,L104-93  ,Schroder  27,Millsap  13,Schroder  6,H,Atlanta Hawks 2015-16 Postseason NBA Schedule
"Wed, May 4",Cleveland ,L123-98  ,Millsap  16,Millsap  11,Teague  5,H,Atlanta Hawks 2015-16 Postseason NBA Schedule
"Fri, May 6", Cleveland ,L121-108  ,Horford  24,Millsap  8,Teague  14,A,Atlanta Hawks 2015-16 Postseason NBA Schedule
"Sun, May 8", Cleveland ,L100-99  ,Schroder  21,Millsap  9,Schroder  6,A,Atlanta Hawks 2015-16 Postseason NBA Schedule
