DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 17", Miami ,W85-76  ,Pierce  16,Garnett  9,Rondo  10,A,Boston Celtics 2009-10 Postseason NBA Schedule
"Tue, Apr 20", Miami ,W106-77  ,Allen  25,Perkins  9,Rondo  12,A,Boston Celtics 2009-10 Postseason NBA Schedule
"Fri, Apr 23",Miami ,W100-98  ,Pierce  32,Perkins  12,Rondo  8,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Sun, Apr 25",Miami ,L101-92  ,Rondo  23,Garnett  12,Rondo  9,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Tue, Apr 27", Miami ,W96-86  ,Allen  24,Rondo  8,Rondo  12,A,Boston Celtics 2009-10 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Sat, May 1",Cleveland ,L101-93  ,Rondo  27,Perkins  11,Rondo  12,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Mon, May 3",Cleveland ,W104-86  ,Allen  22,Garnett  10,Rondo  19,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Fri, May 7", Cleveland ,L124-95  ,Garnett  19,Rondo  5,Rondo  8,A,Boston Celtics 2009-10 Postseason NBA Schedule
"Sun, May 9", Cleveland ,W97-87  ,Rondo  29,Rondo  18,Rondo  13,A,Boston Celtics 2009-10 Postseason NBA Schedule
"Tue, May 11",Cleveland ,W120-88  ,Allen  25,Pierce  11,Pierce  7,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Thu, May 13", Cleveland ,W94-85  ,Garnett  22,Garnett  12,Rondo  12,A,Boston Celtics 2009-10 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Sun, May 16",Orlando ,W92-88  ,Allen  25,Garnett  11,Rondo  8,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Tue, May 18",Orlando ,W95-92  ,Pierce  28,Garnett  9,Rondo  8,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Sat, May 22", Orlando ,W94-71  ,Davis  17,Pierce  9,Rondo  12,A,Boston Celtics 2009-10 Postseason NBA Schedule
"Mon, May 24", Orlando ,L96-92 OT ,Pierce  32,Garnett  12,Rondo  8,A,Boston Celtics 2009-10 Postseason NBA Schedule
"Wed, May 26",Orlando ,L113-92  ,Wallace  21,Garnett  5,Allen  7,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Fri, May 28", Orlando ,W96-84  ,Pierce  31,Pierce  13,Rondo  6,A,Boston Celtics 2009-10 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Thu, Jun 3",Los Angeles ,L102-89  ,Pierce  24,Pierce  9,Rondo  8,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Sun, Jun 6",Los Angeles ,W103-94  ,Allen  32,Rondo  12,Rondo  10,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Tue, Jun 8", Los Angeles ,L91-84  ,Garnett  25,Perkins  11,Rondo  8,A,Boston Celtics 2009-10 Postseason NBA Schedule
"Thu, Jun 10", Los Angeles ,W96-89  ,Pierce  19,Perkins  7,Pierce  5,A,Boston Celtics 2009-10 Postseason NBA Schedule
"Sun, Jun 13", Los Angeles ,W92-86  ,Pierce  27,Garnett  10,Rondo  8,A,Boston Celtics 2009-10 Postseason NBA Schedule
"Tue, Jun 15",Los Angeles ,L89-67  ,Allen  19,Davis  9,Rondo  6,H,Boston Celtics 2009-10 Postseason NBA Schedule
"Thu, Jun 17",Los Angeles ,L83-79  ,Pierce  18,Pierce  10,Rondo  10,H,Boston Celtics 2009-10 Postseason NBA Schedule
