DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 20", Philadelphia ,L90-86  ,Wallace  24,Maxiell  11,Billups  4,A,Detroit Pistons 2007-08 Postseason NBA Schedule
"Wed, Apr 23", Philadelphia ,W105-88  ,Hamilton  20,McDyess  12,Hamilton  7,A,Detroit Pistons 2007-08 Postseason NBA Schedule
"Fri, Apr 25",Philadelphia ,L95-75  ,Hamilton  23,Hamilton  6,Stuckey  5,H,Detroit Pistons 2007-08 Postseason NBA Schedule
"Sun, Apr 27",Philadelphia ,W93-84  ,Prince  23,Wallace  10,Billups  7,H,Detroit Pistons 2007-08 Postseason NBA Schedule
"Tue, Apr 29", Philadelphia ,W98-81  ,Billups  21,Maxiell  11,Billups  12,A,Detroit Pistons 2007-08 Postseason NBA Schedule
"Thu, May 1",Philadelphia ,W100-77  ,Hamilton  24,Prince  7,Billups  7,H,Detroit Pistons 2007-08 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2007-08 Postseason NBA Schedule
"Sat, May 3", Orlando ,W91-72  ,Billups  19,Maxiell  9,Billups  7,A,Detroit Pistons 2007-08 Postseason NBA Schedule
"Mon, May 5", Orlando ,W100-93  ,Billups  28,Prince  10,Prince  5,A,Detroit Pistons 2007-08 Postseason NBA Schedule
"Wed, May 7",Orlando ,L111-86  ,Hamilton  24,Prince  7,Hamilton  3,H,Detroit Pistons 2007-08 Postseason NBA Schedule
"Sat, May 10",Orlando ,W90-89  ,Hamilton  32,McDyess  14,Prince  5,H,Detroit Pistons 2007-08 Postseason NBA Schedule
"Tue, May 13", Orlando ,W91-86  ,Hamilton  31,McDyess  11,Stuckey  6,A,Detroit Pistons 2007-08 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2007-08 Postseason NBA Schedule
"Tue, May 20",Boston ,L88-79  ,Prince  16,McDyess  11,Wallace  4,H,Detroit Pistons 2007-08 Postseason NBA Schedule
"Thu, May 22",Boston ,W103-97  ,Hamilton  25,Wallace  10,Billups  7,H,Detroit Pistons 2007-08 Postseason NBA Schedule
"Sat, May 24", Boston ,L94-80  ,Hamilton  26,Wallace  8,Stuckey  4,A,Detroit Pistons 2007-08 Postseason NBA Schedule
"Mon, May 26", Boston ,W94-75  ,McDyess  21,McDyess  16,Hamilton  7,A,Detroit Pistons 2007-08 Postseason NBA Schedule
"Wed, May 28",Boston ,L106-102  ,Billups  26,Billups  5,Billups  6,H,Detroit Pistons 2007-08 Postseason NBA Schedule
"Fri, May 30", Boston ,L89-81  ,Billups  29,Wallace  10,Billups  6,A,Detroit Pistons 2007-08 Postseason NBA Schedule
