DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 27", Boston ,W95-87  ,1-0,Hickson  21,Varejao  10,Gibson  8,A,Cleveland Cavaliers 2010-11 Regular Season NBA Schedule
"Fri, Oct 29",Toronto ,L101-81  ,1-1,Jamison  13,Hickson  6,Sessions  4,H,Cleveland Cavaliers 2010-11 Regular Season NBA Schedule
"Sat, Oct 30", Sacramento ,L107-104  ,1-2,Sessions  21,Varejao  9,Gibson  7,A,Cleveland Cavaliers 2010-11 Regular Season NBA Schedule
"Tue, Nov 2", Atlanta ,L100-88  ,1-3,Hickson  31,Varejao  12,Sessions  3,A,Cleveland Cavaliers 2010-11 Regular Season NBA Schedule
"Fri, Nov 5",Philadelphia ,W123-116  ,2-3,Varejao  23,Varejao  12,Williams  7,H,Cleveland Cavaliers 2010-11 Regular Season NBA Schedule
"Sat, Nov 6",Washington ,W107-102  ,3-3,Williams  28,Varejao  11,Moon  5,H,Cleveland Cavaliers 2010-11 Regular Season NBA Schedule
"Tue, Nov 9",New Jersey ,W93-91  ,4-3,Hickson  18,Hickson  10,Williams  7,H,Cleveland Cavaliers 2010-11 Regular Season NBA Schedule
"Wed, Nov 10", New Jersey ,L95-87  ,4-4,Hickson  15,Jamison  9,Gibson  5,A,Cleveland Cavaliers 2010-11 Regular Season NBA Schedule
"Sat, Nov 13", Indiana ,L99-85  ,4-5,Jamison  19,Jamison  9,Sessions  5,A,Cleveland Cavaliers 2010-11 Regular Season NBA Schedule
"Tue, Nov 16", Philadelphia ,W101-93  ,5-5,Gibson  18,Moon  8,Gibson  8,A,Cleveland Cavaliers 2010-11 Regular Season NBA Schedule
"Fri, Nov 19",New Orleans ,L108-101  ,5-6,Jamison  20,Varejao  13,Sessions  5,H,Cleveland Cavaliers 2010-11 Regular Season NBA Schedule
