DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 20", Denver ,W128-114  ,Gasol  36,Gasol  16,Gasol  8,A,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Wed, Apr 23", Denver ,W122-107  ,Bryant  49,Gasol  10,Bryant  10,A,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Sat, Apr 26",Denver ,W102-84  ,Bryant  22,Bryant  7,Bryant  8,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Mon, Apr 28",Denver ,W107-101  ,Bryant  31,Odom  12,Bryant  6,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Sun, May 4", Utah ,W109-98  ,Bryant  38,Gasol  10,Bryant  7,A,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Wed, May 7", Utah ,W120-110  ,Bryant  34,Odom  16,Bryant  6,A,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Fri, May 9",Utah ,L104-99  ,Bryant  34,Odom  12,Bryant  7,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Sun, May 11",Utah ,L123-115 OT ,Bryant  33,Odom  13,Bryant  10,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Wed, May 14", Utah ,W111-104  ,Bryant  26,Odom  11,Gasol  8,A,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Fri, May 16",Utah ,W108-105  ,Bryant  34,Gasol  13,Bryant  6,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Wed, May 21", San Antonio ,W89-85  ,Bryant  27,Odom  8,Bryant  9,A,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Fri, May 23", San Antonio ,W101-71  ,Bryant  22,Odom  12,Bryant  5,A,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Sun, May 25",San Antonio ,L103-84  ,Bryant  30,Odom  11,Odom  6,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Tue, May 27",San Antonio ,W93-91  ,Bryant  28,Bryant  10,Gasol  6,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Thu, May 29", San Antonio ,W100-92  ,Bryant  39,Gasol  19,Gasol  5,A,Los Angeles Lakers 2007-08 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Thu, Jun 5",Boston ,L98-88  ,Bryant  24,Gasol  8,Bryant  6,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Sun, Jun 8",Boston ,L108-102  ,Bryant  30,Gasol  10,Bryant  8,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Tue, Jun 10", Boston ,W87-81  ,Bryant  36,Gasol  12,Farmar  5,A,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Thu, Jun 12", Boston ,L97-91  ,Odom  19,Odom  10,Bryant  10,A,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Sun, Jun 15", Boston ,W103-98  ,Bryant  25,Gasol  13,Gasol  6,A,Los Angeles Lakers 2007-08 Postseason NBA Schedule
"Tue, Jun 17",Boston ,L131-92  ,Bryant  22,Odom  10,Odom  5,H,Los Angeles Lakers 2007-08 Postseason NBA Schedule
