DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 22", Los Angeles ,W95-87  ,Barbosa  26,Marion  16,Nash  10,A,Phoenix Suns 2006-07 Postseason NBA Schedule
"Tue, Apr 24", Los Angeles ,W126-98  ,Barbosa  26,Marion  10,Nash  14,A,Phoenix Suns 2006-07 Postseason NBA Schedule
"Thu, Apr 26",Los Angeles ,L95-89  ,Stoudemire  24,Stoudemire  10,Nash  13,H,Phoenix Suns 2006-07 Postseason NBA Schedule
"Sun, Apr 29",Los Angeles ,W113-100  ,Stoudemire  27,Stoudemire  21,Nash  23,H,Phoenix Suns 2006-07 Postseason NBA Schedule
"Wed, May 2", Los Angeles ,W119-110  ,Stoudemire  27,Stoudemire  16,Nash  10,A,Phoenix Suns 2006-07 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Phoenix Suns 2006-07 Postseason NBA Schedule
"Sun, May 6", San Antonio ,L111-106  ,Nash  31,Stoudemire  18,Nash  8,A,Phoenix Suns 2006-07 Postseason NBA Schedule
"Tue, May 8", San Antonio ,W101-81  ,Stoudemire  27,Marion  10,Nash  16,A,Phoenix Suns 2006-07 Postseason NBA Schedule
"Sat, May 12",San Antonio ,L108-101  ,Marion  26,Thomas  12,Nash  11,H,Phoenix Suns 2006-07 Postseason NBA Schedule
"Mon, May 14",San Antonio ,W104-98  ,Stoudemire  26,Marion  12,Nash  15,H,Phoenix Suns 2006-07 Postseason NBA Schedule
"Wed, May 16", San Antonio ,L88-85  ,Marion  24,Marion  17,Nash  12,A,Phoenix Suns 2006-07 Postseason NBA Schedule
"Fri, May 18",San Antonio ,L114-106  ,Stoudemire  38,Stoudemire  12,Nash  14,H,Phoenix Suns 2006-07 Postseason NBA Schedule
