DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 19", Golden State ,L109-105  ,Paul  28,Jordan  14,Paul  8,A,LA Clippers 2013-14 Postseason NBA Schedule
"Mon, Apr 21", Golden State ,W138-98  ,Griffin  35,Jordan  9,Paul  10,A,LA Clippers 2013-14 Postseason NBA Schedule
"Thu, Apr 24",Golden State ,W98-96  ,Griffin  32,Jordan  22,Paul  10,H,LA Clippers 2013-14 Postseason NBA Schedule
"Sun, Apr 27",Golden State ,L118-97  ,Crawford  26,Griffin  6,Paul  6,H,LA Clippers 2013-14 Postseason NBA Schedule
"Tue, Apr 29", Golden State ,W113-103  ,Jordan  25,Jordan  18,Paul  7,A,LA Clippers 2013-14 Postseason NBA Schedule
"Thu, May 1",Golden State ,L100-99  ,Crawford  19,Jordan  19,Paul  8,H,LA Clippers 2013-14 Postseason NBA Schedule
"Sat, May 3", Golden State ,W126-121  ,Griffin  24,Jordan  18,Paul  14,A,LA Clippers 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,LA Clippers 2013-14 Postseason NBA Schedule
"Mon, May 5",Oklahoma City ,W122-105  ,Paul  32,Griffin  5,Paul  10,H,LA Clippers 2013-14 Postseason NBA Schedule
"Wed, May 7",Oklahoma City ,L112-101  ,Redick  18,Jordan  8,Paul  10,H,LA Clippers 2013-14 Postseason NBA Schedule
"Fri, May 9", Oklahoma City ,L118-112  ,Griffin  34,Jordan  11,Paul  16,A,LA Clippers 2013-14 Postseason NBA Schedule
"Sun, May 11", Oklahoma City ,W101-99  ,Griffin  25,Jordan  14,Paul  10,A,LA Clippers 2013-14 Postseason NBA Schedule
"Tue, May 13",Oklahoma City ,L105-104  ,Griffin  24,Griffin  17,Paul  14,H,LA Clippers 2013-14 Postseason NBA Schedule
"Thu, May 15", Oklahoma City ,L104-98  ,Paul  25,Jordan  15,Paul  11,A,LA Clippers 2013-14 Postseason NBA Schedule
