DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 31", Denver ,W84-75  ,1-0,Hawes  16,Hawes  12,Holiday  11,A,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
"Sun, Nov 4",New York ,L100-84  ,1-1,Holiday  27,Turner  11,Holiday  7,H,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
"Mon, Nov 5", New York ,L110-88  ,1-2,Holiday  17,Young  10,Holiday  8,A,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
"Wed, Nov 7",New Orleans ,W77-62  ,2-2,Turner  14,Young  10,Holiday  12,H,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
"Fri, Nov 9",Boston ,W106-100  ,3-2,Turner  25,Turner  11,Holiday  14,H,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
"Sat, Nov 10",Toronto ,W93-83  ,4-2,Young  16,Turner  12,Holiday  5,H,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
"Mon, Nov 12", Milwaukee ,L105-96  ,4-3,Holiday  25,Young  7,Holiday  6,A,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
"Wed, Nov 14", Detroit ,L94-76  ,4-4,Allen  14,Young  8,Holiday  7,A,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
"Fri, Nov 16", Utah ,W99-93  ,5-4,Holiday  26,Richardson  8,Holiday  7,A,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
"Sun, Nov 18", Cleveland ,W86-79  ,6-4,Turner  19,Hawes  9,Turner  9,A,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
"Tue, Nov 20", Toronto ,W106-98  ,7-4,Young  23,Holiday  8,Holiday  12,A,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
"Wed, Nov 21",Cleveland ,L92-83  ,7-5,Richardson  16,Young  11,Turner  7,H,Philadelphia 76ers 2012-13 Regular Season NBA Schedule
