DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, May 23", Los Angeles ,W99-90  ,Booker  34,Ayton  16,Booker  8,A,Phoenix Suns 2020-21 Postseason NBA Schedule
"Tue, May 25", Los Angeles ,L109-102  ,Booker  31,Ayton  10,Payne  7,A,Phoenix Suns 2020-21 Postseason NBA Schedule
"Thu, May 27",Los Angeles ,L109-95  ,Ayton  22,Ayton  11,Booker  6,H,Phoenix Suns 2020-21 Postseason NBA Schedule
"Sun, May 30",Los Angeles ,W100-92  ,Paul  18,Ayton  17,Paul  9,H,Phoenix Suns 2020-21 Postseason NBA Schedule
"Tue, Jun 1", Los Angeles ,W115-85  ,Booker  30,Booker  7,Paul  6,A,Phoenix Suns 2020-21 Postseason NBA Schedule
"Thu, Jun 3",Los Angeles ,W113-100  ,Booker  47,Booker  11,Paul  12,H,Phoenix Suns 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Phoenix Suns 2020-21 Postseason NBA Schedule
"Mon, Jun 7", Denver ,W122-105  ,Bridges  23,Ayton  10,Paul  11,A,Phoenix Suns 2020-21 Postseason NBA Schedule
"Wed, Jun 9", Denver ,W123-98  ,Booker  18,Booker  10,Paul  15,A,Phoenix Suns 2020-21 Postseason NBA Schedule
"Fri, Jun 11",Denver ,W116-102  ,Booker  28,Ayton  15,Paul  8,H,Phoenix Suns 2020-21 Postseason NBA Schedule
"Sun, Jun 13",Denver ,W125-118  ,Paul  37,Booker  11,Paul  7,H,Phoenix Suns 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Phoenix Suns 2020-21 Postseason NBA Schedule
"Sun, Jun 20", LA ,W120-114  ,Booker  40,Booker  13,Booker  11,A,Phoenix Suns 2020-21 Postseason NBA Schedule
"Tue, Jun 22", LA ,W104-103  ,Payne  29,Ayton  14,Payne  9,A,Phoenix Suns 2020-21 Postseason NBA Schedule
"Thu, Jun 24",LA ,L106-92  ,Ayton  18,Ayton  9,Paul  12,H,Phoenix Suns 2020-21 Postseason NBA Schedule
"Sat, Jun 26",LA ,W84-80  ,Booker  25,Ayton  22,Paul  7,H,Phoenix Suns 2020-21 Postseason NBA Schedule
"Mon, Jun 28", LA ,L116-102  ,Booker  31,Ayton  11,Paul  8,A,Phoenix Suns 2020-21 Postseason NBA Schedule
"Wed, Jun 30",LA ,W130-103  ,Paul  41,Ayton  17,Paul  8,H,Phoenix Suns 2020-21 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Phoenix Suns 2020-21 Postseason NBA Schedule
"Tue, Jul 6", Milwaukee ,W118-105  ,Paul  32,Ayton  19,Paul  9,A,Phoenix Suns 2020-21 Postseason NBA Schedule
"Thu, Jul 8", Milwaukee ,W118-108  ,Booker  31,Ayton  11,Paul  8,A,Phoenix Suns 2020-21 Postseason NBA Schedule
"Sun, Jul 11",Milwaukee ,L120-100  ,Paul  19,Ayton  9,Paul  9,H,Phoenix Suns 2020-21 Postseason NBA Schedule
"Wed, Jul 14",Milwaukee ,L109-103  ,Booker  42,Ayton  17,Paul  7,H,Phoenix Suns 2020-21 Postseason NBA Schedule
"Sat, Jul 17", Milwaukee ,L123-119  ,Booker  40,Ayton  10,Paul  11,A,Phoenix Suns 2020-21 Postseason NBA Schedule
"Tue, Jul 20",Milwaukee ,L105-98  ,Paul  26,Crowder  13,Paul  5,H,Phoenix Suns 2020-21 Postseason NBA Schedule
