DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 14", Utah ,W122-90  ,Harden  29,Capela  12,Harden  10,A,Houston Rockets 2018-19 Postseason NBA Schedule
"Wed, Apr 17", Utah ,W118-98  ,Harden  32,Harden  13,Harden  10,A,Houston Rockets 2018-19 Postseason NBA Schedule
"Sat, Apr 20",Utah ,W104-101  ,Harden  22,Capela  14,Harden  10,H,Houston Rockets 2018-19 Postseason NBA Schedule
"Mon, Apr 22",Utah ,L107-91  ,Harden  30,Paul  8,Paul  7,H,Houston Rockets 2018-19 Postseason NBA Schedule
"Wed, Apr 24", Utah ,W100-93  ,Harden  26,Capela  10,Harden  6,A,Houston Rockets 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Houston Rockets 2018-19 Postseason NBA Schedule
"Sun, Apr 28",Golden State ,L104-100  ,Harden  35,Capela  6,Harden  6,H,Houston Rockets 2018-19 Postseason NBA Schedule
"Tue, Apr 30",Golden State ,L115-109  ,Harden  29,Capela  10,Paul  6,H,Houston Rockets 2018-19 Postseason NBA Schedule
"Sat, May 4", Golden State ,W126-121 OT ,Harden  41,Tucker  12,Paul  7,A,Houston Rockets 2018-19 Postseason NBA Schedule
"Mon, May 6", Golden State ,W112-108  ,Harden  38,Harden  10,Paul  5,A,Houston Rockets 2018-19 Postseason NBA Schedule
"Wed, May 8",Golden State ,L104-99  ,Harden  31,Capela  14,Harden  8,H,Houston Rockets 2018-19 Postseason NBA Schedule
"Fri, May 10", Golden State ,L118-113  ,Harden  35,Paul  11,Paul  6,A,Houston Rockets 2018-19 Postseason NBA Schedule
