DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Feb 13", Detroit ,W118-110  ,37-21,Tatum  19,Horford  14,Hayward  8,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Thu, Feb 21",Milwaukee ,L98-97  ,37-22,Irving  22,Horford  17,Irving  5,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Feb 23",Chicago ,L126-116  ,37-23,Irving  37,Morris Sr.  6,Irving  10,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Tue, Feb 26",Toronto ,L118-95  ,37-24,Morris Sr.  17,Brown  8,Horford  5,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Wed, Feb 27", Portland ,L97-92  ,37-25,Irving  31,Brown  10,Smart  5,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Fri, Mar 1", Washington ,W107-96  ,38-25,Horford  18,Morris Sr.  9,Irving  12,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sun, Mar 3", Houston ,L115-104  ,38-26,Irving  24,Irving  9,Irving  6,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Tue, Mar 5",Golden State ,W128-95  ,39-26,Hayward  30,Hayward  7,Irving  11,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Wed, Mar 6",Sacramento ,W111-109  ,40-26,Tatum  24,Horford  11,Horford  7,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Mar 9",Los Angeles ,W120-107  ,41-26,Irving  30,Horford  8,Irving  5,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Mon, Mar 11",LA ,L140-115  ,41-27,Rozier  26,Brown  7,Irving  11,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Thu, Mar 14", Sacramento ,W126-120  ,42-27,Irving  31,Morris Sr.  13,Irving  12,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Mar 16", Atlanta ,W129-120  ,43-27,Irving  30,Irving  11,Irving  9,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Mon, Mar 18", Denver ,L114-105  ,43-28,Irving  30,Tatum  7,Horford  6,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Wed, Mar 20",Philadelphia ,L118-115  ,43-29,Irving  36,Irving  9,Horford  5,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Mar 23",Charlotte ,L124-117  ,43-30,Irving  31,Morris Sr.  9,Smart  8,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sun, Mar 24", San Antonio ,L115-96  ,43-31,Smart  14,Hayward  10,Irving  12,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Tue, Mar 26",Cleveland ,W116-106  ,44-31,Smart  21,Horford  8,Horford  5,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Fri, Mar 29", Indiana ,W114-112  ,45-31,Irving  30,Baynes  13,Smart  6,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sat, Mar 30",Brooklyn ,L110-96  ,45-32,Hayward  19,Hayward  6,Rozier  4,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Mon, Apr 1", Miami ,W110-105  ,46-32,Irving  25,Horford  11,Horford  10,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Wed, Apr 3",Miami ,W112-102  ,47-32,Hayward  25,Baynes  10,Hayward  5,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Fri, Apr 5",Indiana ,W117-97  ,48-32,Tatum  22,Baynes  11,Irving  6,H,Boston Celtics 2018-19 Regular Season NBA Schedule
"Sun, Apr 7", Orlando ,L116-108  ,48-33,Irving  23,Morris Sr.  8,Horford  7,A,Boston Celtics 2018-19 Regular Season NBA Schedule
"Tue, Apr 9",Washington ,W116-110  ,49-33,Rozier  21,Dozier  11,Wanamaker  7,H,Boston Celtics 2018-19 Regular Season NBA Schedule
