DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 19", Brooklyn ,W99-92  ,Korver  21,Horford  10,Korver  3,A,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Wed, Apr 22", Brooklyn ,W96-91  ,Millsap  19,Horford  13,Horford  7,A,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Sat, Apr 25",Brooklyn ,L91-83  ,Carroll  22,Millsap  17,Teague  6,H,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Mon, Apr 27",Brooklyn ,L120-115 OT ,Carroll  20,Millsap  12,Teague  11,H,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Wed, Apr 29", Brooklyn ,W107-97  ,Carroll  24,Horford  15,Teague  8,A,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Fri, May 1",Brooklyn ,W111-87  ,Millsap  25,Millsap  9,Teague  13,H,Atlanta Hawks 2014-15 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Sun, May 3", Washington ,L104-98  ,Carroll  24,Horford  17,Millsap  8,A,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Tue, May 5", Washington ,W106-90  ,Carroll  22,Millsap  11,Teague  8,A,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Sat, May 9",Washington ,L103-101  ,Teague  18,Horford  10,Teague  7,H,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Mon, May 11",Washington ,W106-101  ,Teague  26,Horford  10,Teague  8,H,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Wed, May 13", Washington ,W82-81  ,Horford  23,Horford  11,Schroder  7,A,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Fri, May 15",Washington ,W94-91  ,Carroll  25,Millsap  13,Teague  7,H,Atlanta Hawks 2014-15 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Wed, May 20", Cleveland ,L97-89  ,Teague  27,Horford  7,Teague  4,A,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Fri, May 22", Cleveland ,L94-82  ,Schroder  13,Scott  7,Teague  6,A,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Sun, May 24",Cleveland ,L114-111 OT ,Teague  30,Millsap  9,Teague  7,H,Atlanta Hawks 2014-15 Postseason NBA Schedule
"Tue, May 26",Cleveland ,L118-88  ,Teague  17,Millsap  10,Millsap  5,H,Atlanta Hawks 2014-15 Postseason NBA Schedule
