DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Dec 22",Los Angeles ,W116-109  ,1-0,George  33,George  6,Batum  6,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Fri, Dec 25",Denver ,W121-108  ,2-0,George  23,Batum  10,George  9,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Sun, Dec 27", Dallas ,L124-73  ,2-1,George  15,Ibaka  9,George  4,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Tue, Dec 29", Minnesota ,W124-101  ,3-1,Williams  20,Ibaka  8,Williams  5,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Wed, Dec 30", Portland ,W128-105  ,4-1,Leonard  28,George  10,Leonard  7,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Fri, Jan 1",Utah ,L106-100  ,4-2,George  25,Leonard  16,Leonard  9,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Sun, Jan 3",Phoenix ,W112-107  ,5-2,George  39,Beverley  9,Jackson  6,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Tue, Jan 5", San Antonio ,L116-113  ,5-3,Leonard  30,Batum  9,Leonard  10,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Wed, Jan 6",Golden State ,W108-101  ,6-3,George  21,Ibaka  14,Leonard  4,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Fri, Jan 8",Golden State ,L115-105  ,6-4,George  25,Ibaka  7,George  7,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Sun, Jan 10", Chicago ,W130-127  ,7-4,Leonard  35,George  7,George  9,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Wed, Jan 13", New Orleans ,W111-106  ,8-4,Leonard  28,Zubac  7,Leonard  9,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Fri, Jan 15",Sacramento ,W138-100  ,9-4,Leonard  27,Mann  9,Leonard  6,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Sun, Jan 17", Indiana ,W129-96  ,10-4,George  20,George  7,Beverley  6,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Wed, Jan 20", Sacramento ,W115-96  ,11-4,Leonard  32,Zubac  12,George  12,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Fri, Jan 22", Oklahoma City ,W120-106  ,12-4,Leonard  31,Ibaka  11,Williams  8,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Sun, Jan 24", Oklahoma City ,W108-100  ,13-4,Leonard  34,Zubac  11,Leonard  8,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Tue, Jan 26",Atlanta ,L108-99  ,13-5,Jackson  20,Zubac  10,Jackson  8,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Thu, Jan 28",Miami ,W109-105  ,14-5,Batum  18,Ibaka  13,Jackson  6,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Fri, Jan 29",Orlando ,W116-90  ,15-5,George  26,George  9,George  5,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Sun, Jan 31",New York ,W129-115  ,16-5,Leonard  28,George  8,George  5,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Tue, Feb 2",Brooklyn ,L124-120  ,16-6,Leonard  33,Ibaka  10,George  6,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Wed, Feb 3",Cleveland ,W121-99  ,17-6,George  36,Zubac  16,George  6,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Fri, Feb 5", Boston ,L119-115  ,17-7,Leonard  28,Leonard  11,Williams  6,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Sun, Feb 7", Sacramento ,L113-110  ,17-8,Williams  23,Zubac  14,Williams  5,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Wed, Feb 10",Minnesota ,W119-112  ,18-8,Leonard  36,Batum  10,Leonard  5,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Fri, Feb 12",Chicago ,W125-106  ,19-8,Leonard  33,Leonard  6,Williams  5,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Sun, Feb 14", Cleveland ,W128-111  ,20-8,Williams  30,Ibaka  9,Williams  10,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Mon, Feb 15", Miami ,W125-118  ,21-8,Morris Sr.  32,Ibaka  9,Williams  10,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Wed, Feb 17", Utah ,L114-96  ,21-9,Williams  16,Zubac  9,Williams  6,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Fri, Feb 19", Utah ,W116-112  ,22-9,Leonard  29,Ibaka  9,George  5,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Sun, Feb 21", Brooklyn ,L112-108  ,22-10,George  34,Leonard  13,George  7,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Tue, Feb 23", Washington ,W135-116  ,23-10,Leonard  32,Zubac  13,Leonard  4,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Thu, Feb 25",Memphis ,L122-94  ,23-11,Leonard  17,George  7,Leonard  7,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Fri, Feb 26",Memphis ,W119-99  ,24-11,Leonard  30,Leonard  9,George  8,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Sun, Feb 28",Milwaukee ,L105-100  ,24-12,Leonard  25,Ibaka  11,George  7,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Tue, Mar 2",Boston ,L117-112  ,24-13,George  32,Zubac  10,Jackson  7,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Thu, Mar 4",Washington ,L119-117  ,24-14,Leonard  22,Zubac  13,Batum  5,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Thu, Mar 11", Golden State ,W130-104  ,25-14,Leonard  28,Ibaka  14,George  5,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Sun, Mar 14",New Orleans ,L135-115  ,25-15,Leonard  23,Mann  7,Kennard  4,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Mon, Mar 15",Dallas ,W109-99  ,26-15,Leonard  22,Zubac  11,Leonard  7,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Wed, Mar 17",Dallas ,L105-89  ,26-16,George  28,George  7,Leonard  7,H,LA Clippers 2020-21 Regular Season NBA Schedule
"Sat, Mar 20", Charlotte ,W125-98  ,27-16,George  21,George  5,George  10,A,LA Clippers 2020-21 Regular Season NBA Schedule
"Mon, Mar 22", Atlanta ,W119-110  ,28-16,Leonard  25,Mann  10,George  7,A,LA Clippers 2020-21 Regular Season NBA Schedule
