DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 19", New Orleans ,W113-84  ,Billups  36,Hilario  14,Billups  8,A,Denver Nuggets 2008-09 Postseason NBA Schedule
"Wed, Apr 22", New Orleans ,W108-93  ,Billups  31,Hilario  8,Anthony  9,A,Denver Nuggets 2008-09 Postseason NBA Schedule
"Sat, Apr 25",New Orleans ,L95-93  ,Anthony  25,Martin  10,Billups  6,H,Denver Nuggets 2008-09 Postseason NBA Schedule
"Mon, Apr 27",New Orleans ,W121-63  ,Anthony  26,Andersen  8,Billups  8,H,Denver Nuggets 2008-09 Postseason NBA Schedule
"Wed, Apr 29", New Orleans ,W107-86  ,Anthony  34,Martin  7,Billups  11,A,Denver Nuggets 2008-09 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Denver Nuggets 2008-09 Postseason NBA Schedule
"Sun, May 3", Dallas ,W109-95  ,Hilario  24,Andersen  6,Smith  6,A,Denver Nuggets 2008-09 Postseason NBA Schedule
"Tue, May 5", Dallas ,W117-105  ,Hilario  25,Andersen  9,Billups  8,A,Denver Nuggets 2008-09 Postseason NBA Schedule
"Sat, May 9",Dallas ,W106-105  ,Billups  32,Anthony  8,Hilario  4,H,Denver Nuggets 2008-09 Postseason NBA Schedule
"Mon, May 11",Dallas ,L119-117  ,Anthony  41,Anthony  11,Billups  7,H,Denver Nuggets 2008-09 Postseason NBA Schedule
"Wed, May 13", Dallas ,W124-110  ,Anthony  30,Billups  7,Billups  12,A,Denver Nuggets 2008-09 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Denver Nuggets 2008-09 Postseason NBA Schedule
"Tue, May 19",Los Angeles ,L105-103  ,Anthony  39,Martin  8,Billups  8,H,Denver Nuggets 2008-09 Postseason NBA Schedule
"Thu, May 21",Los Angeles ,W106-103  ,Anthony  34,Anthony  9,Hilario  6,H,Denver Nuggets 2008-09 Postseason NBA Schedule
"Sat, May 23", Los Angeles ,L103-97  ,Anthony  21,Andersen  7,Billups  7,A,Denver Nuggets 2008-09 Postseason NBA Schedule
"Mon, May 25", Los Angeles ,W120-101  ,Billups  24,Martin  15,Hilario  6,A,Denver Nuggets 2008-09 Postseason NBA Schedule
"Wed, May 27",Los Angeles ,L103-94  ,Anthony  31,Hilario  8,Billups  5,H,Denver Nuggets 2008-09 Postseason NBA Schedule
"Fri, May 29", Los Angeles ,L119-92  ,Anthony  25,Hilario  6,Billups  9,A,Denver Nuggets 2008-09 Postseason NBA Schedule
