DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 16", Oklahoma City ,W118-87  ,Harden  37,Anderson  12,Harden  9,A,Houston Rockets 2016-17 Postseason NBA Schedule
"Wed, Apr 19", Oklahoma City ,W115-111  ,Harden  35,Capela  10,Harden  8,A,Houston Rockets 2016-17 Postseason NBA Schedule
"Fri, Apr 21",Oklahoma City ,L115-113  ,Harden  44,Ariza  8,Harden  6,H,Houston Rockets 2016-17 Postseason NBA Schedule
"Sun, Apr 23",Oklahoma City ,W113-109  ,Hilario  28,Hilario  10,Harden  8,H,Houston Rockets 2016-17 Postseason NBA Schedule
"Tue, Apr 25", Oklahoma City ,W105-99  ,Harden  34,Capela  9,Harden  4,A,Houston Rockets 2016-17 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Houston Rockets 2016-17 Postseason NBA Schedule
"Mon, May 1",San Antonio ,W126-99  ,Ariza  23,Capela  13,Harden  14,H,Houston Rockets 2016-17 Postseason NBA Schedule
"Wed, May 3",San Antonio ,L121-96  ,Anderson  18,Anderson  8,Harden  10,H,Houston Rockets 2016-17 Postseason NBA Schedule
"Fri, May 5", San Antonio ,L103-92  ,Harden  43,Capela  15,Harden  5,A,Houston Rockets 2016-17 Postseason NBA Schedule
"Sun, May 7", San Antonio ,W125-104  ,Harden  28,Capela  9,Harden  12,A,Houston Rockets 2016-17 Postseason NBA Schedule
"Tue, May 9",San Antonio ,L110-107 OT ,Harden  33,Capela  11,Harden  10,H,Houston Rockets 2016-17 Postseason NBA Schedule
"Thu, May 11", San Antonio ,L114-75  ,Ariza  20,Capela  12,Harden  7,A,Houston Rockets 2016-17 Postseason NBA Schedule
