DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 18", New Orleans ,W106-99  ,Curry  34,Bogut  14,Green  7,A,Golden State Warriors 2014-15 Postseason NBA Schedule
"Mon, Apr 20", New Orleans ,W97-87  ,Thompson  26,Bogut  14,Curry  6,A,Golden State Warriors 2014-15 Postseason NBA Schedule
"Thu, Apr 23",New Orleans ,W123-119 OT ,Curry  40,Green  17,Curry  9,H,Golden State Warriors 2014-15 Postseason NBA Schedule
"Sat, Apr 25",New Orleans ,W109-98  ,Curry  39,Green  10,Curry  9,H,Golden State Warriors 2014-15 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2014-15 Postseason NBA Schedule
"Sun, May 3", Memphis ,W101-86  ,Curry  22,Bogut  6,Curry  7,A,Golden State Warriors 2014-15 Postseason NBA Schedule
"Tue, May 5", Memphis ,L97-90  ,Curry  19,Green  12,Curry  6,A,Golden State Warriors 2014-15 Postseason NBA Schedule
"Sat, May 9",Memphis ,L99-89  ,Curry  23,Thompson  8,Green  7,H,Golden State Warriors 2014-15 Postseason NBA Schedule
"Mon, May 11",Memphis ,W101-84  ,Curry  33,Green  10,Curry  5,H,Golden State Warriors 2014-15 Postseason NBA Schedule
"Wed, May 13", Memphis ,W98-78  ,Thompson  21,Bogut  9,Green  9,A,Golden State Warriors 2014-15 Postseason NBA Schedule
"Fri, May 15",Memphis ,W108-95  ,Curry  32,Green  12,Curry  10,H,Golden State Warriors 2014-15 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2014-15 Postseason NBA Schedule
"Tue, May 19", Houston ,W110-106  ,Curry  34,Green  12,Green  8,A,Golden State Warriors 2014-15 Postseason NBA Schedule
"Thu, May 21", Houston ,W99-98  ,Curry  33,Bogut  8,Green  7,A,Golden State Warriors 2014-15 Postseason NBA Schedule
"Sat, May 23",Houston ,W115-80  ,Curry  40,Green  13,Curry  7,H,Golden State Warriors 2014-15 Postseason NBA Schedule
"Mon, May 25",Houston ,L128-115  ,Thompson  24,Green  15,Curry  4,H,Golden State Warriors 2014-15 Postseason NBA Schedule
"Wed, May 27", Houston ,W104-90  ,Curry  26,Bogut  14,Curry  6,A,Golden State Warriors 2014-15 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Golden State Warriors 2014-15 Postseason NBA Schedule
"Thu, Jun 4", Cleveland ,W108-100 OT ,Curry  26,Bogut  7,Curry  8,A,Golden State Warriors 2014-15 Postseason NBA Schedule
"Sun, Jun 7", Cleveland ,L95-93 OT ,Thompson  34,Green  10,Curry  5,A,Golden State Warriors 2014-15 Postseason NBA Schedule
"Tue, Jun 9",Cleveland ,L96-91  ,Curry  27,Green  7,Curry  6,H,Golden State Warriors 2014-15 Postseason NBA Schedule
"Thu, Jun 11",Cleveland ,W103-82  ,Iguodala  22,Iguodala  8,Curry  7,H,Golden State Warriors 2014-15 Postseason NBA Schedule
"Sun, Jun 14", Cleveland ,W104-91  ,Curry  37,Barnes  10,Iguodala  7,A,Golden State Warriors 2014-15 Postseason NBA Schedule
"Tue, Jun 16",Cleveland ,W105-97  ,Curry  25,Green  11,Green  10,H,Golden State Warriors 2014-15 Postseason NBA Schedule
