DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 19", Boston ,W113-100  ,Irving  30,Love  12,James  7,A,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Tue, Apr 21", Boston ,W99-91  ,James  30,Thompson  11,James  7,A,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Thu, Apr 23",Boston ,W103-95  ,James  31,James  11,Irving  6,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Sun, Apr 26",Boston ,W101-93  ,James  27,Irving  11,James  8,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Mon, May 4", Chicago ,L99-92  ,Irving  30,James  15,James  9,A,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Wed, May 6", Chicago ,W106-91  ,James  33,Thompson  12,Dellavedova  9,A,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Fri, May 8",Chicago ,L99-96  ,James  27,Thompson  13,James  14,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Sun, May 10",Chicago ,W86-84  ,James  25,James  14,James  8,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Tue, May 12", Chicago ,W106-101  ,James  38,James  12,James  6,A,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Thu, May 14",Chicago ,W94-73  ,Dellavedova  19,Thompson  17,James  11,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Wed, May 20",Atlanta ,W97-89  ,James  31,Mozgov  11,James  6,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Fri, May 22",Atlanta ,W94-82  ,James  30,Thompson  16,James  11,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Sun, May 24", Atlanta ,W114-111 OT ,James  37,James  18,James  13,A,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Tue, May 26", Atlanta ,W118-88  ,James  23,Thompson  11,James  7,A,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Thu, Jun 4",Golden State ,L108-100 OT ,James  44,Thompson  15,James  6,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Sun, Jun 7",Golden State ,W95-93 OT ,James  39,James  16,James  11,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Tue, Jun 9", Golden State ,W96-91  ,James  40,Thompson  13,James  8,A,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Thu, Jun 11", Golden State ,L103-82  ,Mozgov  28,Thompson  13,James  8,A,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Sun, Jun 14",Golden State ,L104-91  ,James  40,James  14,James  11,H,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
"Tue, Jun 16", Golden State ,L105-97  ,James  32,James  18,James  9,A,Cleveland Cavaliers 2014-15 Postseason NBA Schedule
