DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 21",Houston ,L84-75  ,Williams  15,Boozer  12,Williams  9,H,Utah Jazz 2006-07 Postseason NBA Schedule
"Mon, Apr 23",Houston ,L98-90  ,Boozer  41,Boozer  12,Williams  7,H,Utah Jazz 2006-07 Postseason NBA Schedule
"Thu, Apr 26", Houston ,W81-67  ,Boozer  22,Boozer  12,Williams  8,A,Utah Jazz 2006-07 Postseason NBA Schedule
"Sat, Apr 28", Houston ,W98-85  ,Williams  25,Boozer  10,Williams  7,A,Utah Jazz 2006-07 Postseason NBA Schedule
"Mon, Apr 30",Houston ,L96-92  ,Boozer  26,Okur  9,Williams  6,H,Utah Jazz 2006-07 Postseason NBA Schedule
"Thu, May 3", Houston ,W94-82  ,Boozer  22,Boozer  9,Williams  8,A,Utah Jazz 2006-07 Postseason NBA Schedule
"Sat, May 5",Houston ,W103-99  ,Boozer  35,Boozer  14,Williams  14,H,Utah Jazz 2006-07 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Utah Jazz 2006-07 Postseason NBA Schedule
"Mon, May 7", Golden State ,W116-112  ,Williams  31,Boozer  20,Williams  8,A,Utah Jazz 2006-07 Postseason NBA Schedule
"Wed, May 9", Golden State ,W127-117 OT ,Boozer  30,Okur  18,Williams  14,A,Utah Jazz 2006-07 Postseason NBA Schedule
"Fri, May 11",Golden State ,L125-105  ,Boozer  19,Boozer  11,Williams  6,H,Utah Jazz 2006-07 Postseason NBA Schedule
"Sun, May 13",Golden State ,W115-101  ,Boozer  34,Boozer  12,Williams  13,H,Utah Jazz 2006-07 Postseason NBA Schedule
"Tue, May 15", Golden State ,W100-87  ,Kirilenko  21,Kirilenko  15,Williams  7,A,Utah Jazz 2006-07 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Utah Jazz 2006-07 Postseason NBA Schedule
"Sun, May 20",San Antonio ,L108-100  ,Williams  34,Boozer  12,Williams  9,H,Utah Jazz 2006-07 Postseason NBA Schedule
"Tue, May 22",San Antonio ,L105-96  ,Boozer  33,Boozer  15,Williams  10,H,Utah Jazz 2006-07 Postseason NBA Schedule
"Sat, May 26", San Antonio ,W109-83  ,Williams  31,Boozer  12,Williams  8,A,Utah Jazz 2006-07 Postseason NBA Schedule
"Mon, May 28", San Antonio ,L91-79  ,Williams  27,Boozer  9,Williams  10,A,Utah Jazz 2006-07 Postseason NBA Schedule
"Wed, May 30",San Antonio ,L109-84  ,Kirilenko  13,Boozer  12,Boozer  4,H,Utah Jazz 2006-07 Postseason NBA Schedule
