DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 10", New Orleans ,W101-96  ,1-0,,,,A,Indiana Pacers 2007-08 Preseason NBA Schedule
"Sat, Oct 13", Seattle ,W97-87  ,2-0,,,,A,Indiana Pacers 2007-08 Preseason NBA Schedule
"Mon, Oct 15",New Orleans ,W117-104  ,3-0,,,,H,Indiana Pacers 2007-08 Preseason NBA Schedule
"Wed, Oct 17", Memphis ,W122-115  ,4-0,,,,A,Indiana Pacers 2007-08 Preseason NBA Schedule
"Fri, Oct 19", Minnesota ,L113-110 2OT ,4-1,,,,A,Indiana Pacers 2007-08 Preseason NBA Schedule
"Sat, Oct 20",Chicago ,L100-88  ,4-2,,,,H,Indiana Pacers 2007-08 Preseason NBA Schedule
"Tue, Oct 23",Minnesota ,W106-95  ,5-2,,,,H,Indiana Pacers 2007-08 Preseason NBA Schedule
"Fri, Oct 26",Memphis ,W140-113  ,6-2,,,,H,Indiana Pacers 2007-08 Preseason NBA Schedule
