DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 14", Washington ,W114-106  ,Ibaka  23,Ibaka  12,Lowry  9,A,Toronto Raptors 2017-18 Postseason NBA Schedule
"Tue, Apr 17", Washington ,W130-119  ,DeRozan  37,Valanciunas  14,Lowry  12,A,Toronto Raptors 2017-18 Postseason NBA Schedule
"Fri, Apr 20",Washington ,L122-103  ,DeRozan  23,Ibaka  6,Lowry  8,H,Toronto Raptors 2017-18 Postseason NBA Schedule
"Sun, Apr 22",Washington ,L106-98  ,DeRozan  35,Ibaka  10,DeRozan  6,H,Toronto Raptors 2017-18 Postseason NBA Schedule
"Wed, Apr 25", Washington ,W108-98  ,DeRozan  32,Valanciunas  13,Lowry  10,A,Toronto Raptors 2017-18 Postseason NBA Schedule
"Fri, Apr 27",Washington ,W102-92  ,Lowry  24,Valanciunas  12,Lowry  6,H,Toronto Raptors 2017-18 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Toronto Raptors 2017-18 Postseason NBA Schedule
"Tue, May 1", Cleveland ,L113-112 OT ,DeRozan  22,Valanciunas  21,Lowry  10,A,Toronto Raptors 2017-18 Postseason NBA Schedule
"Thu, May 3", Cleveland ,L128-110  ,DeRozan  24,Valanciunas  12,Lowry  8,A,Toronto Raptors 2017-18 Postseason NBA Schedule
"Sat, May 5",Cleveland ,L105-103  ,Lowry  27,Valanciunas  11,Lowry  7,H,Toronto Raptors 2017-18 Postseason NBA Schedule
"Mon, May 7",Cleveland ,L128-93  ,Valanciunas  18,Valanciunas  5,Lowry  10,H,Toronto Raptors 2017-18 Postseason NBA Schedule
