DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 19", Utah ,W96-90  ,Webber  27,Webber  11,Jackson  6,A,Sacramento Kings 2002-03 Postseason NBA Schedule
"Mon, Apr 21", Utah ,W108-95  ,Stojakovic  29,Divac  7,Jackson  6,A,Sacramento Kings 2002-03 Postseason NBA Schedule
"Sat, Apr 26",Utah ,L107-104  ,Webber  24,Webber  11,Bibby  7,H,Sacramento Kings 2002-03 Postseason NBA Schedule
"Mon, Apr 28",Utah ,W99-82  ,Stojakovic  27,Webber  11,Bibby  9,H,Sacramento Kings 2002-03 Postseason NBA Schedule
"Wed, Apr 30", Utah ,W111-91  ,Webber  26,Webber  11,Bibby  7,A,Sacramento Kings 2002-03 Postseason NBA Schedule
"Tue, May 6",Dallas ,W124-113  ,Stojakovic  26,Stojakovic  9,Webber  9,H,Sacramento Kings 2002-03 Postseason NBA Schedule
"Thu, May 8",Dallas ,L132-110  ,Webber  31,Jackson  8,Christie  9,H,Sacramento Kings 2002-03 Postseason NBA Schedule
"Sat, May 10", Dallas ,L141-137 2OT ,Stojakovic  39,Jackson  11,Christie  7,A,Sacramento Kings 2002-03 Postseason NBA Schedule
"Sun, May 11", Dallas ,W99-83  ,Turkoglu  17,Stojakovic  12,Christie  7,A,Sacramento Kings 2002-03 Postseason NBA Schedule
"Tue, May 13",Dallas ,L112-93  ,Christie  21,Christie  9,Christie  7,H,Sacramento Kings 2002-03 Postseason NBA Schedule
"Thu, May 15", Dallas ,W115-109  ,Stojakovic  24,Jackson  12,Christie  6,A,Sacramento Kings 2002-03 Postseason NBA Schedule
"Sat, May 17",Dallas ,L112-99  ,Bibby  25,Stojakovic  9,Bibby  5,H,Sacramento Kings 2002-03 Postseason NBA Schedule
