DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 16", Indiana ,L100-90  ,Joseph  18,Valanciunas  19,Lowry  7,A,Toronto Raptors 2015-16 Postseason NBA Schedule
"Mon, Apr 18", Indiana ,W98-87  ,Valanciunas  23,Valanciunas  15,Lowry  9,A,Toronto Raptors 2015-16 Postseason NBA Schedule
"Thu, Apr 21",Indiana ,W101-85  ,Lowry  21,Valanciunas  14,Lowry  8,H,Toronto Raptors 2015-16 Postseason NBA Schedule
"Sat, Apr 23",Indiana ,L100-83  ,Valanciunas  16,Biyombo  9,Lowry  5,H,Toronto Raptors 2015-16 Postseason NBA Schedule
"Tue, Apr 26", Indiana ,W102-99  ,DeRozan  34,Biyombo  16,Lowry  5,A,Toronto Raptors 2015-16 Postseason NBA Schedule
"Fri, Apr 29",Indiana ,L101-83  ,Carroll  15,Biyombo  10,Lowry  10,H,Toronto Raptors 2015-16 Postseason NBA Schedule
"Sun, May 1", Indiana ,W89-84  ,DeRozan  30,Valanciunas  15,Lowry  9,A,Toronto Raptors 2015-16 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Toronto Raptors 2015-16 Postseason NBA Schedule
"Tue, May 3", Miami ,L102-96 OT ,Valanciunas  24,Valanciunas  14,Lowry  6,A,Toronto Raptors 2015-16 Postseason NBA Schedule
"Thu, May 5", Miami ,W96-92 OT ,Carroll  21,Valanciunas  12,Lowry  6,A,Toronto Raptors 2015-16 Postseason NBA Schedule
"Sat, May 7",Miami ,W95-91  ,Lowry  33,Valanciunas  12,DeRozan  5,H,Toronto Raptors 2015-16 Postseason NBA Schedule
"Mon, May 9",Miami ,L94-87 OT ,Ross  14,Biyombo  13,Lowry  9,H,Toronto Raptors 2015-16 Postseason NBA Schedule
"Wed, May 11", Miami ,W99-91  ,DeRozan  34,Lowry  10,Lowry  6,A,Toronto Raptors 2015-16 Postseason NBA Schedule
"Fri, May 13",Miami ,L103-91  ,Lowry  36,Biyombo  13,Lowry  3,H,Toronto Raptors 2015-16 Postseason NBA Schedule
"Sun, May 15", Miami ,W116-89  ,Lowry  35,Biyombo  16,Lowry  9,A,Toronto Raptors 2015-16 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Toronto Raptors 2015-16 Postseason NBA Schedule
"Tue, May 17",Cleveland ,L115-84  ,DeRozan  18,Biyombo  4,DeRozan  5,H,Toronto Raptors 2015-16 Postseason NBA Schedule
"Thu, May 19",Cleveland ,L108-89  ,DeRozan  22,Lowry  6,Patterson  4,H,Toronto Raptors 2015-16 Postseason NBA Schedule
"Sat, May 21", Cleveland ,W99-84  ,DeRozan  32,Biyombo  26,DeRozan  4,A,Toronto Raptors 2015-16 Postseason NBA Schedule
"Mon, May 23", Cleveland ,W105-99  ,Lowry  35,Biyombo  14,Lowry  5,A,Toronto Raptors 2015-16 Postseason NBA Schedule
"Wed, May 25",Cleveland ,L116-78  ,DeRozan  14,Thompson  5,Lowry  6,H,Toronto Raptors 2015-16 Postseason NBA Schedule
"Fri, May 27", Cleveland ,L113-87  ,Lowry  35,Biyombo  9,DeRozan  4,A,Toronto Raptors 2015-16 Postseason NBA Schedule
