DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 21", Milwaukee ,W110-87  ,James  27,James  10,James  8,A,Miami Heat 2012-13 Postseason NBA Schedule
"Tue, Apr 23", Milwaukee ,W98-86  ,Wade  21,James  8,James  6,A,Miami Heat 2012-13 Postseason NBA Schedule
"Thu, Apr 25",Milwaukee ,W104-91  ,Allen  23,Bosh  14,Wade  11,H,Miami Heat 2012-13 Postseason NBA Schedule
"Sun, Apr 28",Milwaukee ,W88-77  ,James  30,James  8,James  7,H,Miami Heat 2012-13 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Miami Heat 2012-13 Postseason NBA Schedule
"Mon, May 6", Chicago ,L93-86  ,James  24,James  8,James  7,A,Miami Heat 2012-13 Postseason NBA Schedule
"Wed, May 8", Chicago ,W115-78  ,Allen  21,Cole  6,James  9,A,Miami Heat 2012-13 Postseason NBA Schedule
"Fri, May 10",Chicago ,W104-94  ,James  25,Bosh  19,James  7,H,Miami Heat 2012-13 Postseason NBA Schedule
"Mon, May 13",Chicago ,W88-65  ,James  27,James  7,James  8,H,Miami Heat 2012-13 Postseason NBA Schedule
"Wed, May 15", Chicago ,W94-91  ,James  23,James  7,James  8,A,Miami Heat 2012-13 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Miami Heat 2012-13 Postseason NBA Schedule
"Wed, May 22", Indiana ,W103-102 OT ,James  30,James  10,James  10,A,Miami Heat 2012-13 Postseason NBA Schedule
"Fri, May 24", Indiana ,L97-93  ,James  36,James  8,Wade  5,A,Miami Heat 2012-13 Postseason NBA Schedule
"Sun, May 26",Indiana ,W114-96  ,James  22,Andersen  9,Wade  8,H,Miami Heat 2012-13 Postseason NBA Schedule
"Tue, May 28",Indiana ,L99-92  ,James  24,Allen  7,Wade  6,H,Miami Heat 2012-13 Postseason NBA Schedule
"Thu, May 30", Indiana ,W90-79  ,James  30,James  8,James  6,A,Miami Heat 2012-13 Postseason NBA Schedule
"Sat, Jun 1",Indiana ,L91-77  ,James  29,Anthony  8,James  6,H,Miami Heat 2012-13 Postseason NBA Schedule
"Mon, Jun 3", Indiana ,W99-76  ,James  32,Wade  9,James  4,A,Miami Heat 2012-13 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Miami Heat 2012-13 Postseason NBA Schedule
"Thu, Jun 6", San Antonio ,L92-88  ,James  18,James  18,James  10,A,Miami Heat 2012-13 Postseason NBA Schedule
"Sun, Jun 9", San Antonio ,W103-84  ,Chalmers  19,Bosh  10,James  7,A,Miami Heat 2012-13 Postseason NBA Schedule
"Tue, Jun 11",San Antonio ,L113-77  ,Wade  16,James  11,Wade  5,H,Miami Heat 2012-13 Postseason NBA Schedule
"Thu, Jun 13",San Antonio ,W109-93  ,James  33,Bosh  13,Chalmers  5,H,Miami Heat 2012-13 Postseason NBA Schedule
"Sun, Jun 16",San Antonio ,L114-104  ,James  25,James  6,Wade  10,H,Miami Heat 2012-13 Postseason NBA Schedule
"Tue, Jun 18", San Antonio ,W103-100 OT ,James  32,Bosh  11,James  11,A,Miami Heat 2012-13 Postseason NBA Schedule
"Thu, Jun 20", San Antonio ,W95-88  ,James  37,James  12,James  4,A,Miami Heat 2012-13 Postseason NBA Schedule
