DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 19", Utah ,W113-100  ,Bryant  24,Gasol  9,Bryant  8,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Tue, Apr 21", Utah ,W119-109  ,Bryant  26,Bryant  6,Bryant  9,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Thu, Apr 23",Utah ,L88-86  ,Odom  21,Odom  14,Bryant  6,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Sat, Apr 25",Utah ,W108-94  ,Bryant  38,Odom  15,Odom  6,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Mon, Apr 27", Utah ,W107-96  ,Bryant  31,Odom  15,Bryant  4,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Mon, May 4", Houston ,L100-92  ,Bryant  32,Gasol  13,Bryant  4,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Wed, May 6", Houston ,W111-98  ,Bryant  40,Gasol  14,Walton  5,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Fri, May 8",Houston ,W108-94  ,Bryant  33,Odom  13,Farmar  7,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Sun, May 10",Houston ,L99-87  ,Gasol  30,Gasol  9,Bryant  5,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Tue, May 12", Houston ,W118-78  ,Bryant  26,Gasol  13,Farmar  6,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Thu, May 14",Houston ,L95-80  ,Bryant  32,Odom  14,Bryant  3,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Sun, May 17", Houston ,W89-70  ,Gasol  21,Gasol  18,Bryant  5,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Tue, May 19", Denver ,W105-103  ,Bryant  40,Gasol  14,Fisher  6,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Thu, May 21", Denver ,L106-103  ,Bryant  32,Gasol  17,Walton  4,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Sat, May 23",Denver ,W103-97  ,Bryant  41,Gasol  11,Bryant  5,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Mon, May 25",Denver ,L120-101  ,Bryant  34,Gasol  10,Bryant  5,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Wed, May 27", Denver ,W103-94  ,Bryant  22,Odom  14,Bryant  8,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Fri, May 29",Denver ,W119-92  ,Bryant  35,Gasol  12,Bryant  10,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Thu, Jun 4", Orlando ,W100-75  ,Bryant  40,Odom  14,Bryant  8,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Sun, Jun 7", Orlando ,W101-96 OT ,Bryant  29,Gasol  10,Bryant  8,A,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Tue, Jun 9",Orlando ,L108-104  ,Bryant  31,Ariza  7,Bryant  8,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Thu, Jun 11",Orlando ,W99-91 OT ,Bryant  32,Gasol  10,Bryant  8,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
"Sun, Jun 14",Orlando ,W99-86  ,Bryant  30,Gasol  15,Bryant  5,H,Los Angeles Lakers 2008-09 Postseason NBA Schedule
