DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 28", Orlando ,L81-77  ,West  19,Hibbert  13,Collison  5,A,Indiana Pacers 2011-12 Postseason NBA Schedule
"Mon, Apr 30", Orlando ,W93-78  ,West  18,Hibbert  13,West  4,A,Indiana Pacers 2011-12 Postseason NBA Schedule
"Wed, May 2",Orlando ,W97-74  ,Granger  26,Hibbert  10,George  4,H,Indiana Pacers 2011-12 Postseason NBA Schedule
"Sat, May 5",Orlando ,W101-99 OT ,West  26,West  12,Collison  9,H,Indiana Pacers 2011-12 Postseason NBA Schedule
"Tue, May 8", Orlando ,W105-87  ,Granger  25,West  8,Collison  6,A,Indiana Pacers 2011-12 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Indiana Pacers 2011-12 Postseason NBA Schedule
"Sun, May 13",Miami ,L95-86  ,West  17,West  12,Collison  6,H,Indiana Pacers 2011-12 Postseason NBA Schedule
"Tue, May 15",Miami ,W78-75  ,West  16,George  11,Granger  3,H,Indiana Pacers 2011-12 Postseason NBA Schedule
"Thu, May 17", Miami ,W94-75  ,Hill  20,Hibbert  18,Hill  5,A,Indiana Pacers 2011-12 Postseason NBA Schedule
"Sun, May 20", Miami ,L101-93  ,Granger  20,Hibbert  9,George  5,A,Indiana Pacers 2011-12 Postseason NBA Schedule
"Tue, May 22",Miami ,L115-83  ,George  11,Hibbert  12,George  3,H,Indiana Pacers 2011-12 Postseason NBA Schedule
"Thu, May 24", Miami ,L105-93  ,West  24,George  10,Hill  5,A,Indiana Pacers 2011-12 Postseason NBA Schedule
