DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 13", Orlando ,L104-101  ,Leonard  25,Siakam  9,Lowry  8,A,Toronto Raptors 2018-19 Postseason NBA Schedule
"Tue, Apr 16", Orlando ,W111-82  ,Leonard  37,Siakam  10,Lowry  7,A,Toronto Raptors 2018-19 Postseason NBA Schedule
"Fri, Apr 19",Orlando ,W98-93  ,Siakam  30,Siakam  11,Lowry  10,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Sun, Apr 21",Orlando ,W107-85  ,Leonard  34,Ibaka  8,Lowry  9,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Tue, Apr 23", Orlando ,W115-96  ,Leonard  27,Gasol  9,VanVleet  10,A,Toronto Raptors 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Sat, Apr 27", Philadelphia ,W108-95  ,Leonard  45,Leonard  11,Lowry  8,A,Toronto Raptors 2018-19 Postseason NBA Schedule
"Mon, Apr 29", Philadelphia ,L94-89  ,Leonard  35,Leonard  7,Leonard  6,A,Toronto Raptors 2018-19 Postseason NBA Schedule
"Thu, May 2",Philadelphia ,L116-95  ,Leonard  33,Green  6,Lowry  5,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Sun, May 5",Philadelphia ,W101-96  ,Leonard  39,Leonard  14,Lowry  7,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Tue, May 7", Philadelphia ,W125-89  ,Siakam  25,Leonard  13,Lowry  5,A,Toronto Raptors 2018-19 Postseason NBA Schedule
"Thu, May 9",Philadelphia ,L112-101  ,Leonard  29,Leonard  12,Lowry  6,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Sun, May 12", Philadelphia ,W92-90  ,Leonard  41,Siakam  11,Lowry  6,A,Toronto Raptors 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Wed, May 15",Milwaukee ,L108-100  ,Leonard  31,Gasol  12,Gasol  5,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Fri, May 17",Milwaukee ,L125-103  ,Leonard  31,Ibaka  10,Lowry  4,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Sun, May 19", Milwaukee ,W118-112 2OT ,Leonard  36,Gasol  12,Gasol  7,A,Toronto Raptors 2018-19 Postseason NBA Schedule
"Tue, May 21", Milwaukee ,W120-102  ,Lowry  25,Ibaka  13,Gasol  7,A,Toronto Raptors 2018-19 Postseason NBA Schedule
"Thu, May 23",Milwaukee ,W105-99  ,Leonard  35,Siakam  13,Leonard  9,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Sat, May 25", Milwaukee ,W100-94  ,Leonard  27,Leonard  17,Lowry  8,A,Toronto Raptors 2018-19 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Thu, May 30", Golden State ,W118-109  ,Siakam  32,Siakam  8,Lowry  9,A,Toronto Raptors 2018-19 Postseason NBA Schedule
"Sun, Jun 2", Golden State ,L109-104  ,Leonard  34,Leonard  14,Siakam  5,A,Toronto Raptors 2018-19 Postseason NBA Schedule
"Wed, Jun 5",Golden State ,W123-109  ,Leonard  30,Siakam  9,Lowry  9,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Fri, Jun 7",Golden State ,W105-92  ,Leonard  36,Leonard  12,Lowry  7,H,Toronto Raptors 2018-19 Postseason NBA Schedule
"Mon, Jun 10", Golden State ,L106-105  ,Leonard  26,Leonard  12,Leonard  6,A,Toronto Raptors 2018-19 Postseason NBA Schedule
"Thu, Jun 13",Golden State ,W114-110  ,Siakam  26,Siakam  10,Lowry  10,H,Toronto Raptors 2018-19 Postseason NBA Schedule
