DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 28", Dallas ,W99-98  ,Westbrook  28,Perkins  8,Westbrook  5,A,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Mon, Apr 30", Dallas ,W102-99  ,Westbrook  29,Durant  10,Harden  5,A,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Thu, May 3",Dallas ,W95-79  ,Durant  31,Ibaka  11,Durant  6,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Sat, May 5",Dallas ,W103-97  ,Harden  29,Durant  11,Westbrook  6,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Mon, May 14", Los Angeles ,W119-90  ,Westbrook  27,Durant  8,Westbrook  9,A,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Wed, May 16", Los Angeles ,W77-75  ,Durant  22,Durant  7,Durant  5,A,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Fri, May 18",Los Angeles ,L99-96  ,Durant  31,Ibaka  11,Sefolosha  4,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Sat, May 19",Los Angeles ,W103-100  ,Westbrook  37,Durant  13,Westbrook  5,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Mon, May 21", Los Angeles ,W106-90  ,Westbrook  28,Perkins  11,Westbrook  4,A,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Sun, May 27",San Antonio ,L101-98  ,Durant  27,Durant  10,Westbrook  5,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Tue, May 29",San Antonio ,L120-111  ,Durant  31,Ibaka  10,Westbrook  8,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Thu, May 31", San Antonio ,W102-82  ,Durant  22,Perkins  8,Westbrook  9,A,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Sat, Jun 2", San Antonio ,W109-103  ,Durant  36,Perkins  9,Durant  8,A,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Mon, Jun 4",San Antonio ,W108-103  ,Durant  27,Perkins  10,Westbrook  12,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Wed, Jun 6", San Antonio ,W107-99  ,Durant  34,Durant  14,Durant  5,A,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Tue, Jun 12", Miami ,W105-94  ,Durant  36,Collison  10,Westbrook  11,A,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Thu, Jun 14", Miami ,L100-96  ,Durant  32,Westbrook  8,Westbrook  7,A,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Sun, Jun 17",Miami ,L91-85  ,Durant  25,Perkins  12,Harden  6,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Tue, Jun 19",Miami ,L104-98  ,Westbrook  43,Harden  10,Westbrook  5,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
"Thu, Jun 21",Miami ,L121-106  ,Durant  32,Durant  11,Westbrook  6,H,Oklahoma City Thunder 2011-12 Postseason NBA Schedule
