DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 18", Milwaukee ,W108-82  ,Hamilton  21,Wallace  14,Hamilton  8,A,Detroit Pistons 2003-04 Postseason NBA Schedule
"Wed, Apr 21", Milwaukee ,L92-88  ,Billups  20,Wallace  12,Billups  8,A,Detroit Pistons 2003-04 Postseason NBA Schedule
"Sat, Apr 24",Milwaukee ,W95-85  ,Billups  21,Wallace  21,Billups  7,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Mon, Apr 26",Milwaukee ,W109-92  ,Hamilton  27,Wallace  9,Billups  9,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Thu, Apr 29", Milwaukee ,W91-77  ,Prince  24,Wallace  12,Prince  8,A,Detroit Pistons 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Mon, May 3", New Jersey ,W78-56  ,Prince  15,Wallace  11,Hamilton  7,A,Detroit Pistons 2003-04 Postseason NBA Schedule
"Fri, May 7", New Jersey ,W95-80  ,Billups  28,Wallace  11,Billups  13,A,Detroit Pistons 2003-04 Postseason NBA Schedule
"Sun, May 9",New Jersey ,L82-64  ,Wallace  15,Wallace  24,Wallace  4,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Tue, May 11",New Jersey ,L94-79  ,Hamilton  30,Wallace  15,Billups  5,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Fri, May 14", New Jersey ,L127-120 3OT ,Billups  31,Wallace  11,Hamilton  11,A,Detroit Pistons 2003-04 Postseason NBA Schedule
"Sun, May 16",New Jersey ,W81-75  ,Hamilton  24,Wallace  20,Hamilton  4,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Thu, May 20", New Jersey ,W90-69  ,Billups  22,Wallace  8,Billups  7,A,Detroit Pistons 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Sat, May 22",Indiana ,L78-74  ,Hamilton  23,Wallace  22,Wallace  5,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Mon, May 24",Indiana ,W72-67  ,Hamilton  23,Hamilton  8,Billups  6,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Wed, May 26", Indiana ,W85-78  ,Hamilton  20,Wallace  16,Billups  8,A,Detroit Pistons 2003-04 Postseason NBA Schedule
"Fri, May 28", Indiana ,L83-68  ,Hamilton  22,Wallace  19,Billups  5,A,Detroit Pistons 2003-04 Postseason NBA Schedule
"Sun, May 30",Indiana ,W83-65  ,Hamilton  33,Wallace  12,Billups  7,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Tue, Jun 1", Indiana ,W69-65  ,Hamilton  21,Wallace  16,Hamilton  5,A,Detroit Pistons 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Sun, Jun 6",Los Angeles ,W87-75  ,Billups  22,Wallace  8,Hamilton  5,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Tue, Jun 8",Los Angeles ,L99-91 OT ,Billups  27,Wallace  14,Billups  9,H,Detroit Pistons 2003-04 Postseason NBA Schedule
"Thu, Jun 10", Los Angeles ,W88-68  ,Hamilton  31,Wallace  11,Hamilton  3,A,Detroit Pistons 2003-04 Postseason NBA Schedule
"Sun, Jun 13", Los Angeles ,W88-80  ,Wallace  26,Wallace  13,Hamilton  6,A,Detroit Pistons 2003-04 Postseason NBA Schedule
"Tue, Jun 15", Los Angeles ,W100-87  ,Hamilton  21,Wallace  22,Billups  6,A,Detroit Pistons 2003-04 Postseason NBA Schedule
