DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 19",Toronto ,W94-87  ,Johnson  24,Johnson  8,Johnson  4,H,Brooklyn Nets 2013-14 Postseason NBA Schedule
"Tue, Apr 22",Toronto ,L100-95  ,Johnson  18,Pierce  6,Williams  5,H,Brooklyn Nets 2013-14 Postseason NBA Schedule
"Fri, Apr 25", Toronto ,W102-98  ,Johnson  29,Livingston  6,Williams  8,A,Brooklyn Nets 2013-14 Postseason NBA Schedule
"Sun, Apr 27", Toronto ,L87-79  ,Pierce  22,Blatche  7,Williams  6,A,Brooklyn Nets 2013-14 Postseason NBA Schedule
"Wed, Apr 30",Toronto ,L115-113  ,Johnson  32,Teletovic  7,Williams  9,H,Brooklyn Nets 2013-14 Postseason NBA Schedule
"Fri, May 2", Toronto ,W97-83  ,Williams  23,Anderson  9,Williams  4,A,Brooklyn Nets 2013-14 Postseason NBA Schedule
"Sun, May 4",Toronto ,W104-103  ,Johnson  26,Garnett  11,Johnson  4,H,Brooklyn Nets 2013-14 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Brooklyn Nets 2013-14 Postseason NBA Schedule
"Tue, May 6",Miami ,L107-86  ,Johnson  17,Pierce  6,Williams  3,H,Brooklyn Nets 2013-14 Postseason NBA Schedule
"Thu, May 8",Miami ,L94-82  ,Teletovic  20,Garnett  12,Williams  6,H,Brooklyn Nets 2013-14 Postseason NBA Schedule
"Sat, May 10", Miami ,W104-90  ,Johnson  19,Blatche  10,Williams  11,A,Brooklyn Nets 2013-14 Postseason NBA Schedule
"Mon, May 12", Miami ,L102-96  ,Johnson  18,Blatche  8,Williams  7,A,Brooklyn Nets 2013-14 Postseason NBA Schedule
"Wed, May 14",Miami ,L96-94  ,Johnson  34,Garnett  8,Williams  4,H,Brooklyn Nets 2013-14 Postseason NBA Schedule
