DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 15", Brooklyn ,W121-101  ,Embiid  26,Tucker  7,Harden  13,A,Philadelphia 76ers 2022-23 Postseason NBA Schedule
"Mon, Apr 17", Brooklyn ,W96-84  ,Maxey  33,Embiid  19,Embiid  7,A,Philadelphia 76ers 2022-23 Postseason NBA Schedule
"Thu, Apr 20",Brooklyn ,W102-97  ,Maxey  25,Embiid  10,Harden  4,H,Philadelphia 76ers 2022-23 Postseason NBA Schedule
"Sat, Apr 22",Brooklyn ,W96-88  ,Harris  25,Reed  15,Harden  11,H,Philadelphia 76ers 2022-23 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Philadelphia 76ers 2022-23 Postseason NBA Schedule
"Mon, May 1",Boston ,W119-115  ,Harden  45,Reed  13,Harden  6,H,Philadelphia 76ers 2022-23 Postseason NBA Schedule
"Wed, May 3",Boston ,L121-87  ,Harris  16,Harden  10,Harden  4,H,Philadelphia 76ers 2022-23 Postseason NBA Schedule
"Fri, May 5", Boston ,L114-102  ,Embiid  30,Embiid  13,Harden  11,A,Philadelphia 76ers 2022-23 Postseason NBA Schedule
"Sun, May 7", Boston ,W116-115 OT ,Harden  42,Embiid  13,Harden  9,A,Philadelphia 76ers 2022-23 Postseason NBA Schedule
"Tue, May 9",Boston ,W115-103  ,Embiid  33,Harris  11,Harden  10,H,Philadelphia 76ers 2022-23 Postseason NBA Schedule
"Thu, May 11", Boston ,L95-86  ,Embiid  26,Embiid  10,Harden  9,A,Philadelphia 76ers 2022-23 Postseason NBA Schedule
"Sun, May 14",Boston ,L112-88  ,Harris  19,Embiid  8,Harden  7,H,Philadelphia 76ers 2022-23 Postseason NBA Schedule
